"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","CZK","Czech Koruna","6","Millions",,,95826,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","CZK","Czech Koruna","6","Millions",,,95609,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","CZK","Czech Koruna","6","Millions",,,87378,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","CZK","Czech Koruna","6","Millions",,,93735,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","CZK","Czech Koruna","6","Millions",,,96030,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","CZK","Czech Koruna","6","Millions",,,95782,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","CZK","Czech Koruna","6","Millions",,,105675,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","CZK","Czech Koruna","6","Millions",,,111445,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","CZK","Czech Koruna","6","Millions",,,119284,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","CZK","Czech Koruna","6","Millions",,,125254,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","DKK","Danish Krone","6","Millions",,,20311,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","DKK","Danish Krone","6","Millions",,,21834,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","DKK","Danish Krone","6","Millions",,,22757,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","DKK","Danish Krone","6","Millions",,,24037,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","DKK","Danish Krone","6","Millions",,,25782,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","DKK","Danish Krone","6","Millions",,,27059,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","DKK","Danish Krone","6","Millions",,,27335,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","DKK","Danish Krone","6","Millions",,,29165,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","DKK","Danish Krone","6","Millions",,,29682,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","DKK","Danish Krone","6","Millions",,,30198,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","DKK","Danish Krone","6","Millions",,,31214,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","DKK","Danish Krone","6","Millions",,,33562,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","DKK","Danish Krone","6","Millions",,,37527,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","DKK","Danish Krone","6","Millions",,,39799,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","DKK","Danish Krone","6","Millions",,,42779,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","DKK","Danish Krone","6","Millions",,,43803,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","DKK","Danish Krone","6","Millions",,,41872,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","DKK","Danish Krone","6","Millions",,,41931,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","DKK","Danish Krone","6","Millions",,,40739,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","DKK","Danish Krone","6","Millions",,,40644,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","DKK","Danish Krone","6","Millions",,,41127,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","DKK","Danish Krone","6","Millions",,,41793,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","DKK","Danish Krone","6","Millions",,,42726,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","DKK","Danish Krone","6","Millions",,,44268,,
"DNK","Denmark","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","DKK","Danish Krone","6","Millions",,,46601,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,38453,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,39685,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,40988,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,40821,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,43968,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,38048,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,37018,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,37802,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,36507,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,37143,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,37131,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,36516,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,36338,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,40633,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,42896,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,44565,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,48851,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,50308,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,51961,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,53506,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,55991,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,58284,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,60609,,
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,64235,,
