"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,131820.9636,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,165468.321,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,160860.0944,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,197698.8887,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,258238.7985,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,233358.7305,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,253477.5697,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,251797.4508,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,232053.661,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,249157.9113,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,239632.0499,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,213734.7815,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,204220.9958,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,214403.0578,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,260398.2904,,
"CZE","Czech Republic","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,271387.8305,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,1983953.5,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,2397625.242,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,2884830.837,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,3249129.9015,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,4031312.9148,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,3829453.7508,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,3332425.9864,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,2955752.6878,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,3767560.5951,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,4418753.49,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,4528788.1309,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,5748058.563,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,5966063.0946,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,3460317.1746,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,4743089.5715,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,5064995.2175,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,4720192.2787,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,5234808.282,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,5894300.666,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,5743026.032,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,5509314.4603,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,4813300.2032,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,5876932.3147,,
"GBR","United Kingdom","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,5274298.5017,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,3534.0676,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,4387.3368,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,5185.7739,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,6528.8676,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,7878.9006,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,7559.6675,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,8013.532,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,11376.1647,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,17536.1045,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,24939.8164,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,24145.561,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,28235.5959,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,37752.4857,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,42929.3831,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,35380.6444,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,36304.3554,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,38241.9908,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,47208.5278,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,56153.2284,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,57095.7235,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,50597.0059,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,51726.2682,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,66417.9536,,
"EST","Estonia","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,64028.858,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,66067.7822,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,65603.0931,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,94889.2386,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,175561.2867,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,330020.5975,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,187328.3423,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,136043.1876,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,118788.8078,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,176698.6636,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,223521.3864,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,260234.848,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,336786.2954,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,439553.0877,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,146203.2204,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,187932.5942,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,129276.6418,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,88322.0151,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,163862.2629,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,195986.1903,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,154264.408,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,134634.2161,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,128017.9468,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,182771.677,,
"GRC","Greece","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,149209.1407,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,399585.6692,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,408119.4552,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,426713.419,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,642368.0313,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,586969.7776,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,612921.2154,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,613399.4825,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,683614.6533,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,900263.4951,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,1126773.1839,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,1075755.5241,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,1445170.2556,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,1831375.4559,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,1644146.3499,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,1868965.8242,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,1864432.3564,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,1896820.4074,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,1932576.6102,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,2070340.2663,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,1905532.099,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,1795479.9138,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,1713554.6366,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,1903603.5924,,
"BEL","Belgium","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,1692081.6527,,
"FRA","France","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,1791609.9993,,
"FRA","France","LF51LINC","Equity","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,2190352.7761,,
