"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42"
"1945",,,,"10.268004058316794","4.4370547419767057","2.8712167337004635",,,,"5.8309493163400887","1.5658380082762422","276.971","196.66200000000001","150.43579979392501",,,,,,,,,,,,,,,,,,,,,"2.239240726478843","1.8069457197726084",,,"9.2223582802250377","26.385697915379374","37.217629757715315"
"1946",,,,"8.2298731520314341","3.6182268196062548","2.3456289291064523",,,,"4.6116463324251793","1.2725978904998025","277.464","194.846","228.9658320844602","1.8313424437299036E-2","64166.68795653127","45060.341094982745",,,,"1056167.404936471","2321696.3128962712",,,,,"739785.17794652085",,,,"460841.00043904682",,,,"2.1984488422958561","1.8344119203989635",,,"7.1819352862849399","20.967156403895537","31.349620920874543"
"1947",,,"11.216235642454306","8.7716259926044255","4.3452905711138916","3.0985747834476802",,,"2.4446096498498804","4.4263354214905339","1.2467157876662114","278.48599999999999","193.55799999999999","292.06791260641336","1.6648553054662379E-2","90635.059957630758","62994.696089854042",,,"1016584.1899527612","1590033.695531229","3938356.7144623515",,,,"443134.68437429325","1002952.9407984484",,,,"613971.40166136296",,,,"1.824544913909653","2.2127902108551143","1508.943","3.5959006208862805","6.7741048767262546","20.756152217023647","30.224052795458778"
"1948",,,"10.815871819355563","8.4928442910664241","4.403895011305071","3.2281569318054428",,,"2.3230275282891384","4.0889492797613531","1.1757380794996282","279.21600000000001","191.97900000000001","350.63249908094281","2.197612540192926E-2","83108.858498906367","57142.697931929208",,,"898894.76057713036","1411661.1888789684","3660026.8733859281",,,,"386128.33227529243","849569.76775222842",,,,"530068.83359076036",,,,"1.7244308542591311","2.3803939936030072","1826.411","3.463495354851942","6.3780064263274117","19.349017499104196","27.541198720752494"
"1949",,,"9.5347730463398594","7.2943160462633738","3.3468427246186345","2.1084850535449542",,,"2.2404570000764856","3.9474733216447393","1.2383576710736803","285.94400000000002","196.399","406.40320585670395","2.2200723472668809E-2","93207.471256814315","64019.01822513176",,,"888712.08465697034","1359769.5064404258","3119507.4705596948",,,,"417654.66287351493","919835.01541060838",,,,"568621.38015834428",,,,"2.169263508280042","1.8552392107669344","2069.273","3.3919146569072609","6.100598723375116","18.716027345512618","27.506937603043184"
"1950",,,,"7.7355369293427652","3.6658819909808433","2.3054198222304199",,,,"4.0696549383619214","1.3604621687504235","294.64699999999999","202.792","468.37065782977186","2.3289871382636655E-2","99168.049492290142","68252.814699082301",,,,"1534236.2181170029","3635383.6671448341",,,,,"1008949.3558600449",,,,"566244.3186679394",,,,"2.1085500137561253","1.9020792815758283","2309.611",,"5.7099471207403578","19.918091720985196","30.215303405736428"
"1951",,,,"7.5328396936348172","3.3649430905302644","2.0683445114641823",,,,"4.1678966031045528","1.2965985790660821","303.399","209.23500000000001","525.69055090485961","2.5886897106109325E-2","97054.536519387271","66932.343048704832",,,,"1462192.5302811407","3265829.9206552939",,,,,"1011283.1826876024",,,,"590052.34503083827",,,,"2.2796483217846251","1.7814647063385185","2512.441",,"6.0795957220708736","19.412343903000941","28.0349396614304"
"1952",,,"9.9998198509305443","7.5262282598342924","3.4136530995462464","2.174193597374086",,,"2.4735915910962518","4.1125751602880456","1.2394595021721604","309.57600000000002","213.10300000000001","588.69079374414548","2.6389549839228293E-2","104680.47835563957","72058.957991000134",,,"1046785.9254656298","1575698.3489063731","3573428.3940071282",,,,"517873.50202488649","1076265.8376311841",,,,"670485.43834299431",,,,"2.1705118195288509","1.8543271270874613","2762.471","3.4805683149008138","6.4050666263207088","18.448841766192277","25.974046030705125"
"1953",,,"10.026366795666878","7.5753966738269689","3.3634106455019355","2.0856605218461666",,,"2.4509701218399087","4.2119860283250334","1.2777501236557689","316.10000000000002","218.27500000000001","621.22370603000616","2.622202572347267E-2","108536.9927024387","74947.523195586225",,,"1088231.6997332696","1644421.5470104723","3650544.7668614821",,,,"532041.85245606687","1142890.7420477199",,,,"704364.16683759156",,,,"2.2735631078544687","1.7851986241064004","2846.060","3.5315953794423232","6.4896230243696928","18.741904424820987","27.396744149834106"
"1954",,,"9.6915323048539967","7.2523388399696094","3.1258749692417673","1.9172952004776933",,,"2.4391934648843874","4.126463870727842","1.208579768764074","321.87200000000001","222.69300000000001","628.35861465814446","2.6473392282958197E-2","106583.85218115797","73741.977536966908",,,"1032960.8465894756","1545964.4217739829","3331677.9565844624",,,,"519957.27140496817","1099536.0380713632",,,,"685263.84811177826",,,,"2.3684845747636118","1.7307353100218446","2821.636","3.4370450040791205","6.4293402245121714","18.26604792270194","26.043527156680582"
