"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
"1959","21.403194448117645","14.086046736881768","9.3401508131427953","5.3853900940215746","3.5027664826960163","1.2433342091675157","0.79224214051858755","7.3171477112358776","8.7006566428601921","1.8826236113255583","2.2594322735285006","4.1420558848540594","2011.90142728758","1361.4636762565801","57.708000000000006","210.7","1","154.75991293380028","104.72680079762311","3312.3565092958843","4359.9107331625282","5781.9237065221714","8334.4250206532943","10841.756717789387","19241.829395838016","2264.8022854292408","3366.2821612898356","5827.0933235172006","8741.7385482772279","7122.4912011883262","2028.3213816904545","2594.2325766522449","5086.9313449695646","6796.8434154792094","12420.294385797239","2.7520104300139616","1.5707728577803222",,"13.106245301120609","16.762949315963674","22.18079","32.86983","43.91863"," 80.25524","101.28593"
"1960","21.862344297281815","14.336469232607302","9.4915990442523075","5.4920976980395837","3.5649746046304576","1.2574039546309872","0.80438759763280965","7.5258750646745138","8.844371534567717","1.9271230934091261","2.3075706499994704","4.2346937434085969","2073.6716780548354","1395.9058630640084","59.986000000000004","216.45","1","155.06059951986521","104.38007245343506","3389.9882136462247","4446.0430284123804","5887.0921528157696","8516.0796167968929","11055.741989341863","19497.381104373027","2333.933398880069","3428.5338813162507","5976.4172442519257","8945.3322105840725","7295.9350070662149","2094.8235553882969","2671.5151847233801","5160.8412769207571","7043.1563343538719","12607.160099832003","2.779811923085501","1.5618571192996558",,"13.509708861405013","17.228845967289875","22.59885","33.28274","45.42196"," 81.30473","103.11628"
"1961","19.633689908660216","12.420786408244838","7.897057089094222","4.3387526288264588","2.7259674309500523","0.87807956594801695","0.53232654024703896","7.2129035004153774","8.0820337794183796","1.6127851978764065","1.8478878650020354","3.4606730628784419","2137.8747793606121","1429.5734778663461","60.879999999999995","233.00000000000003","1","162.98567622264162","108.98673872268834","3200.0102265086398","4048.8205439295621","5148.4287593393101","7071.5453117204434","8885.8729018858266","14311.439183332117","2351.199909087718","3293.1393519818416","5257.2177215550601","7529.4813315242545","6267.1126593191466","2127.2194714530533","2661.118148881586","4656.9736014667724","6082.3378214055956","10448.731548287027","3.2661701952857403","1.4412731232986278",,"13.051573124421253","16.32731299188799","20.61940","28.57290","37.31824"," 64.10828"," 79.96899"
"1962","19.122934166640384","11.908843249101221","7.4412130467066993","3.9995532282347526","2.4988063911027911","0.8213798174612188","0.50654640299000442","7.2140909175391634","7.909290020866468","1.5007468371319614","1.6774265736415723","3.1781734107735335","2206.5648858921159","1465.6248080871258","60.59899999999999","238.65000000000003","1","162.83157782480248","108.15453537116977","3113.8175429938779","3878.2714726387981","4846.6578453030297","6512.5356274774704","8137.6917468393585","13374.65716706585","2349.3636133489581","3219.7054339291299","4887.3795081155822","6828.450391782736","5750.0776786343167","2128.647524163423","2643.444463162321","4428.3535305293335","5568.5114566631155","9230.0248122884423","3.1996667596857402","1.4546143162807383",,"13.072694821232567","16.234224948716747","20.21454","27.19591","34.19798"," 56.68449"," 71.34562"
"1963","18.965313421472036","11.784421127447462","7.3347898473899393","3.9252097985709522","2.4500000766520742","0.81041353775457703","0.50035864821109632","7.1808922940245736","7.8592113288765102","1.475209721918878","1.6395865388974973","3.1147962608163753","2285.2150497588905","1499.5681430737729","62.645999999999994","246.70000000000002","1","164.51403101583716","107.95482903284265","3120.0601604451235","3877.4052457291573","4826.7033777926245","6457.5208654576954","8061.1877719828544","13332.439788581079","2362.7150751610898","3232.3763407970227","4853.8539589325355","6743.3747678332984","5693.6409851106528","2128.6597569786477","2657.5578371018128","4406.187952282874","5517.9744374744605","9070.0773052035511","3.1761780256885892","1.4595212285923063",,"12.93907725581005","16.153988937551347","20.06175","26.78305","33.54106"," 55.13255"," 70.21850"
"1964","18.979581011525493","11.63816474724341","7.1358277737269198","3.7496617760676849","2.3111684288852694","0.73490135769950116","0.4405688560413879","7.341416264282083","7.8885029711757255","1.4384933471824155","1.5762670711857683","3.0147604183681835","2359.7632928202538","1529.7501636534209","61.407000000000004","251.60000000000002","1","164.47130124772605","106.62086352707951","3121.5963861022306","3828.2882002290726","4694.5555176981225","6167.1175154871171","7602.4175780284577","12087.018258955752","2414.9045719753881","3243.5808714145614","4731.8174529457765","6481.2674077966331","5509.3507662128241","2177.316721947203","2702.7024875799925","4331.9312522233295","5324.3358258380849","8830.5860329496791","3.421880723702392","1.4129022499800379",,"13.238277471081334","16.432669207798096","20.11400","26.33852","32.37243"," 53.69074"," 66.06922"
"1965","19.055242242766109","11.707533422219166","7.1737413535442194","3.7409243896408402","2.2858491635124367","0.71597365186870643","0.43157212926346011","7.3477088205469432","7.9666090325783259","1.4550752261284035","1.5698755116437302","3.0249507377721336","2446.8641103488512","1566.9468204209581","63.238000000000014","272.95","1","174.1922549271151","111.55094344862711","3319.2756144498467","4078.7232929018423","4998.4407305510495","6516.4005494337971","7963.5444043098232","12471.706488741127","2559.8279359978505","3469.3039787688535","5069.2566945577701","6836.5038832019973","5854.6998895107599","2295.1854442118356","2878.0577653336622","4625.9064309962469","5661.2857374177211","8990.8455686931156","3.5471293429809863","1.3925988300341545",,"13.176162425661111","16.522306152692547","20.33738","26.55633","32.50022"," 51.61450"," 63.23713"
"1966","18.753303935316652","11.496708804096601","7.0609913404739064","3.7081447049082978","2.279759741363407","0.72801372991344993","0.43913881479614147","7.2565951312200507","7.7885640991883029","1.4283849635448909","1.5517460114499571","2.9801309749948479","2536.1778612377138","1614.0372724991018","70.661000000000001","282.45","1","174.99595877526872","111.36837219380104","3281.752402364757","4023.7551598659152","4942.5797981204041","6489.1033791286354","7978.974834342961","12739.946066776371","2539.7496448635993","3407.4181050502357","4999.2319239143089","6788.7320262346084","5794.5653027233311","2278.4748864928069","2832.0954253573668","4552.8306406706297","5624.7391428064657","9213.8167856613854","3.4131685235285802","1.4143929403396085",,"13.020157164993984","16.183776157907552","19.85929","26.01678","32.14211"," 52.65160"," 64.99029"
"1967","19.00861793673073","11.717328439849284","7.2373598944734221","3.8444023021482163","2.3941266220597335","0.77476877587602277","0.46659264592257055","7.2912894968814452","7.872926137701068","1.4502756800884828","1.6193578461837106","3.0696335262721934","2630.3569834274299","1663.5789753081585","66.983999999999995","303.35000000000002","1","182.34782027334046","115.32655145718142","3466.1800471715705","4273.2586008666758","5278.8672051636877","7010.1838005053924","8731.2754198193597","14127.739749683698","2659.1014934764657","3589.0273009569974","5289.0921811914259","7382.1593373532733","6219.3442505966923","2391.4952419059105","2975.6975309224586","4790.5564944109592","5970.8896687235901","10241.827268297855","3.2857633531531603","1.4374906083871377",,"13.115019627440816","16.31879956920719","20.08623","26.27153","32.74451"," 56.16644"," 68.29536"
"1968","19.673153263961215","12.106903189073313","7.3449534452728233","3.7328577249350552","2.4712628508210637","0.81213541676066958","0.50715345337983164","7.5662500748879022","8.3740454641382573","1.2615948741139915","1.6591274340603941","2.9207223081743856","2734.7409269630657","1718.8784213908552","70.16","622.1","1","361.92204885358836","227.48041464053529","7120.1479367035017","8763.5104149229119","10633.202398589452","13510.035158874398","17888.090284498379","29392.971398058435","5476.7854584840916","7576.8792289350413","9131.9800332504146","15011.870006108367","11745.264465631726","4939.8606801707965","6243.7388681456459","11768.58799701709","14220.903317146856","24087.564650796507","2.9621992614517545","1.5096322374824152",,"13.648963073175914","17.251612295860657","24.76607","32.51691","39.29272"," 66.55457"," 90.60868"
"1969","19.584479693975073","12.361902405054991","7.5028372196582458","4.0816527007598573","2.640075907324742","0.90855823005335734",,"7.2225772889200819","8.2802497042951337","1.4415767934351154","1.7315176772713845","3.1730944707064999","2842.013502935421","1775.2545771294397","75.353999999999999","731.19999999999993","1","411.88458794588178","257.28238069409866","8066.5453488874118","10183.354156666559","12361.212066575847","16811.698407906693","21748.131544686024","37422.11322103667","5949.7365411082637","8526.2680938565263","11875.265271127359","17829.636125598365","14521.652317558917","5372.5407519871042","7573.9630740984958","13430.301662920783","16532.766902271742","32494.837045138742","2.8775594043151327","1.5326063173829456",,"13.043801368681004","18.388556638816627","25.56601","32.60695","40.13932"," 78.89306",
"1970","20.96256343842083","13.300387702025798","8.481233533180772","4.7277503533195295","3.041763988614774","1.1011793222662341","0.71949911672699107","7.6621757363950316","8.5726373487062695","1.6859863647047555","1.94058466634854","3.6265710310532953","2926.359619900647","1825.0875475285168","80.368000000000009","763.7","1","418.44568006295452","260.97270984962825","8771.6941138528309","11130.979554150284","14195.742134258251","19783.067117626641","25456.260016138283","46078.373037695761","6412.4086735553756","8967.957663281195","14109.874219114998","20300.731760748913","16861.366459841181","5743.1344492036606","7273.428502364457","12560.922701500687","16250.65912074802","28379.517541920613","2.7232855010402983","1.5802868992957513",,"13.724922308529065","17.382013601550817","21.84982","30.01805","38.83577"," 67.82127"," 85.02868"
"1971","21.455690232444848","13.808993681688385","8.9321818322241544","5.0218003133159588","3.2426975276723811","1.2443513338038785","0.86572022749157729","7.646696550756463","8.7871933683724261","1.7791027856435777","1.9983461938685025","3.77744897951208","3014.3202613277126","1881.6696048462215","87.162999999999997","870.1","1","462.40848965145955","288.65545946227644","9921.2933148143948","12770.791823912148","16521.266841323912","23221.230982116591","29989.017323350152","57539.862086003057","7071.7948057166423","10158.182034361038","16453.444640883023","23101.306132686925","19408.049748351423","6335.2824357599593","8064.1479944218981","14643.414592372981","18684.117701770534","32211.329262259795","2.53753278575837","1.6503926350466482",,"13.700618776560914","17.439446236162858","22.35679","31.66770","40.40609"," 69.65990"," 87.72364"
"1972","21.199169467379228","13.616358846193046","8.7540285817169075","4.8233782508229082","3.032393655618439","1.0280745538730871","0.65254611070352397","7.5828106211861819","8.792980595370139","1.7909845952044692","2.0043191017453519","3.7953036969498211","3106.4191104922475","1940.939884664544","93.003","977.8","1","503.77655059058918","314.76757167034566","10679.644469661645","13719.204582277574","17640.297290675084","24299.048573932341","30552.976317204884","51791.985250014273","7640.0843570457155","11074.243584363885","18045.120830659802","25243.224084002537","21244.277832145464","6830.6704469801207","8744.8776991167288","16015.722834602315","20481.707608660709","35172.658547092957","3.0425350428496354","1.4895876834528399",,"13.558928931829724","17.358643805204711","22.45233","31.79132","40.65633"," 69.81797"," 87.93343"
"1973","21.653007791328598","13.867933187750868","8.8872858692127856","4.8835452835089059","3.0836346608201786","1.0455257593179226","0.63823254868020196","7.7850746035777298","8.984387904241963","1.7999106226887274","2.0381089015022562","3.8380195241909831","3179.3415288273368","1988.324960076355","94.147000000000006","1059.3000000000002","1","532.75999711803718","333.18219838769909","11535.856368505059","14776.56009027857","18939.161576275907","26017.575711680089","32856.74386023276","55701.430052105003","8295.1526467315507","11966.306184928191","19178.407563127417","27145.5723122647","22719.369673855093","7422.2065376996879","9470.2453225251666","17174.020095339372","21899.531978184099","38200.247418444291","3.0248077964782847","1.4938740367057475",,"13.9316138183236","17.775819081301929","22.91411","32.23594","41.10581"," 71.70254"," 91.03655"
"1974","20.868868793793801","13.422213730721037","8.6429196148798706","4.7467145381032312","3.0238288319879647","1.012492820812805",,"7.4466550630727646","8.6754991926178064","1.7228857061152665","2.0113360111751595","3.734221717290426","3268.0612833057344","2045.6842804249045","100.65600000000002","1293","1","632.0623433306306","395.64741536673228","13190.42611246478","16967.351726648209","21851.456099996969","30002.195140750999","38224.966747540733","63995.858492838182","9413.5004982813534","13708.640873122509","21779.423533961271","31782.243811216369","26225.121434963537","8449.7274907209521","10760.97955973938","19721.743895943502","25211.134471002442","44338.066679391479","3.0395244136280475","1.4903103847730514",,"13.368503249529795","17.025186950759906","22.21453","31.20221","39.88710"," 70.14825",
"1975","20.478886830721443","12.976928052745221","8.2437117199061927","4.4618499527023285","2.8100138709933855","0.94218803982936339",,"7.5019587779762222","8.5150781000428921","1.651836081708943","1.8678258311640221","3.5196619128729649","3355.619696522655","2102.4199739540941","98.956000000000003","1422","1","676.3634371897615","423.76673419624495","13851.170286646897","17554.239323837992","22302.98077630909","30178.321702347213","38011.812806719856","63726.154109807212","10148.101249455802","14398.218729210686","22344.830597974567","31583.227480948026","26450.784768184993","9072.6897517020661","11492.397719555769","20313.573373274492","25428.385250219362","43712.759373720182","3.0805000051190623","1.4806536878344168",,"13.413926970089335","16.991453244879416","21.68677","30.03352","37.59574"," 64.62910",
"1976","20.662428579413081","13.037453593996796","8.245120781196281","4.4570073825858634","2.8133419918819444","0.94983019921152778",,"7.6249749854162854","8.5804462114109334","1.6436653907039189","1.8635117926704168","3.5071771833743357","3435.1440590094826","2163.2677506206855","99.061999999999998","1557","1","719.74446970480881","453.25610025477596","14871.668700703154","18767.270246624554","23737.520337256865","32079.064150496804","40497.746800906811","68363.503304111393","10976.067154781753","15439.321770656494","23660.381500086791","33531.307675105672","28047.459800095185","9851.0764065423482","12428.894156624041","21525.138300424987","26934.528292979699","47451.214037404978","3.0431893685233202","1.4894308943682164",,"13.68690809195464","17.268481634491121","21.94206","29.90664","37.42235"," 65.92786",
"1977","19.982804854582511","12.479448507511499","7.8118421159947884","4.1993605356685109","2.6445641639493411","0.90072088249846094",,"7.5033563470710121","8.2800879718429883","1.5547963717191697","1.7438432814508802","3.2986396531700501","3510.347492398012","2221.9037891100356","99.125999999999991","1669","1","751.15763705885013","475.45150547470774","15010.236476376318","18748.066105399863","23471.699459709813","31543.817371309455","39729.691368854015","67658.336974710604","11272.406847352773","15549.128288922464","23357.943373764901","32747.529967389863","27531.092970931557","10124.870004279073","12728.201205784293","21333.297308369969","26677.816294814846","45531.282369980661","3.0174371438635452","1.4956783922818651",,"13.479021585832363","16.944780400052153","21.12813","28.40056","35.51560"," 60.61482",
"1978","20.397391805578351","12.701883229160833","7.9233844942589693","4.2790330769504274","2.7045676400149867","0.9319094010320973",,"7.6955085764175184","8.4228501522104047","1.5744654369354407","1.7726582389828893","3.34712367591833","3574.3705541171144","2273.9234923533327","87.717999999999989","1781","1","783.22775853676785","498.26954789244422","15975.803463879367","19896.935061542805","24823.258709853737","33514.574855645726","42365.849010000282","72989.731132971137","12054.671866215931","16492.525113017073","24663.300701291158","34709.878479257568","29128.44638038734","10721.476396968155","13637.58975495272","22544.632829964445","28157.598923486701","47555.43443393139","2.95833438112729","1.5106380246586708",,"13.688836076236752","17.412035779261156","21.53028","28.78426","35.95072"," 60.71725",
"1979",,,,,,,,,,,,,"3635.6787129309032","2324.6324868083439",,"2128.4372032801034","1","915.60159094325866","585.43049904546251",,,,,,,,,,,,,,,,,,,,,,,,,,
"1980","18.968235430966608","11.929896029708571","7.4793398427249915","4.1199788532639499","2.6434083686879841",,,"7.0383394012580371","7.8099171764446211","1.4765704845759657",,,"3782.9138024988697","2430.968074656188","90.227000000000004","2608.8536901165298","1","1073.1748052616858","689.64132579315083","20356.232364785399","25605.72769694931","32106.556316809438","44214.575035338028","56736.78522587676",,"15106.73703262149","20953.515862352127","31692.364844799304",,,"13196.050246284283","17231.019644192053","28439.957807766823","35973.789095043234",,,,,"12.296272873333551","16.056116449724509","19.99675","26.50077","33.52090",,
"1981",,,,,,,,,,,,,"3917.322995032363","2535.0815869052008",,"3319.1014242555029","1","1309.2680888063348","847.28816808430736",,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,"4024.6990000000001","2622.8164585834393",,"3845.6378938282264","1","1466.2245546168422","955.50944153295097",,,,,,,,,,,,,,,,,,,,,,,,,,
"1983","14.570218414625353","9.1980595738690258","5.7478062296024195","3.0792748130681531","1.9530517780685763",,,"5.3721588407563274","6.1187847608008727","1.1262230349995768",,,"4196.1060900000002","2740.4969795468969","104.08399999999999","4656.5809236081141","1","1699.1738937723678","1109.7386061580996","24757.334756692817","31258.205402562475","39066.089167210463","52322.233741161937","66371.491889596582",,"18256.464110823155","25992.198317912611","38272.975592727293",,,"15551.213164591438","20703.870098108044","35323.128594131857","44211.216245467091",,,,,"9.152219923804207","12.184668193167088","15.37626","20.78841","26.01924",,
"1984","16.398710932252833","10.474170695017726","6.4940510494128425","3.4345849607923471","2.1007164927432282",,,"5.9245402372351066","7.0395857342253789","1.3338684680491188",,,"4379.4322199999997","2866.415355535536","136.36699999999999","4772.6495468277944","1","1665.0237159841456","1089.7872845324671","27304.242613769446","34879.485224941309","43250.996040336446","57186.654142817351","69954.855619530223",,"19729.000002597579","29302.692995472302","44418.452666104466",,,"16683.034154968151","22736.909379066939","39555.763469771373","48595.598822320615",,,,,"10.019697614401432","13.655606920666493","18.09781","23.75688","29.18613",,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
