"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150"
"1876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.761599947870705E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.761599947870705E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5787757662624264E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4876704274408516E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.597104197220639E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6154326281788516E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6246351876557784E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.597104197220639E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5329163448690748E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4418110060474998E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4142800156123606E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.378236657661064E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1888","48.934637132782576","36.720908873840109","20.531237006040907","15.510946469536893",,,,"12.213728258942467","16.189671867799202","5.0202905365040138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1240.6346788259805","1240.6346788259805",,"441.75883074172157",,"1.4056909601005623E-2","25330.949626087153",,"25330.949626087153","123956.08281813693","186035.09858147611","520075.73036127858","785814.00734554685",,,"14372.601493637178","61877.06705479775","102524.94063652548","254337.45337701042",,,"47137.598926438943","73534.816415380788","235986.4668108192","372528.61767211778",,,,,,,,,,,,,,,,,,,,,,,,"662.60896691741198","1033.6722668775521","3317.2404310203992","5236.6011024045456",,,
"1889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4509368775287856E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.4509368775287856E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5151247298803501E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1892","45.945204107226949","35.600905793152037","20.484357925165533","15.911800410223577",,,,"10.344298314074912","15.116547867986505","4.5725575149419555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1267","1267",,"490",,"1.4876704274408516E-2","25996.37153216781",,"25996.37153216781","119440.85960927543","185098.87477609713","532518.9792205093","827298.15041974455",,,"15613.65063471141","53782.844442453694","98243.848664994075","237739.80802127408",,,"48120.271706957843","68246.848186480056","198059.90487719222","312890.05132865132",,,,,,,,,,,,,,,,,,,,,,,,"715.87105178859895","1015.288178130717","2946.4786334754695","4654.7727640208468",,,
"1893",,"35.264726439025317","20.142193528637947","15.646755039313868",,,,,"15.12253291038737","4.4954384893240782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1276","1276",,"500",,"1.4601394370057122E-2","26836.445879725339",,"26836.445879725339",,"189275.98450884444","540544.88653024624","839806.58961173263",,,,,"101458.75900349399","241283.18344875969",,,,"69914.999526186089","202372.28164865205","319779.69335522817",,,,,,,,,,,,,,,,,,,,,,,,,"1020.8564804642","2954.9174939202421","4669.2294142156215",,,
"1894",,"35.538274481016217","20.524839662780188","16.011403982694222",,,,,"15.013434818236028","4.5134356800859656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1290","1290",,"503",,"1.4234825750892875E-2","27392.149889555007",,"27392.149889555007",,"194693.94828002877","562219.48450195859","877173.55567235628",,,,,"102812.56422454632","247265.41333156082",,,,"71831.490644795558","207120.12690608745","328439.57728807535",,,,,,,,,,,,,,,,,,,,,,,,,"1022.5087527555565","2948.3189160109737","4675.2801523926655",,,
"1895",,"35.455955868324928","20.51091677206886","16.033217137936845","9.0769215528973426",,,,"14.945039096256068","4.4776996341320157","6.9562955850395021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1309","1309",,"514",,"1.4142800156123606E-2","27764.385626422187",,"27764.385626422187",,"196882.56629631598","569473.00281117042","890304.84689967928","2520151.5029542474",,,,"103734.95716760239","248641.15872266164","482843.18288603716",,,"72340.438516861002","209417.35963586965","330384.62438028853","947112.39560500404",,,,,,,,,,,,,,,,,,,,,"1.5480990272004631","2.824487821311636",,"1023.096365150312","2961.7478665531708","4672.5637172663837","13394.821336429053",,
"1896",,"34.570777104318189","19.854816080398326","15.504030162110716","8.8087188853521603",,,,"14.715961023919863","4.3507859182876096","6.6953112767585559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1329","1329",,"537.6389628158895",,"1.4234825750892875E-2","28419.314514917834",,"28419.314514917834",,"196495.55751054781","564260.26282468822","881227.818851594","2503377.5247631948",,,,"104554.38118201273","247292.70679778236","475690.39237369364",,,"72487.262712139345","209264.34770998391","328920.51256371872","930175.03572948684",,,,,,,,,,,,,,,,,,,,,"1.5454830674438893","2.8332374727706178",,"1031.843553866498","2978.8415255258792","4682.1261822389069","13240.879551439799",,
"1897",,"34.988153893674493","20.354691516722077","16.00284749255632","9.1782404672400659",,,,"14.633462376952416","4.3518440241657572","6.8246070253162543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1348","1348",,"559",,"1.4234825750892875E-2","29131.963717482955",,"29131.963717482955",,"203854.72595444706","592972.13474570564","932388.74505912757","2673801.6828197143",,,,"106575.37375663241","253555.52443228371","497035.51061898097",,,"74561.774874953568","216532.86946063771","338851.11582958995","988507.30674799392",,,,,,,,,,,,,,,,,,,,,"1.5288301273198011","2.8909663960867098",,"1061.3738730222665","3082.3076661130112","4823.4865893298311","14071.229265042106",,
"1898",,"35.345477483881623","20.788248522975671","16.420256889195493","9.4445203279847014",,,,"14.557228960905952","4.3679916337801785","6.9757365612107911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1368","1368",,"606",,"1.5243272893572763E-2","29060.849283038937",,"29060.849283038937",,"205433.91879922603","604124.15718455275","954373.22129138396","2744657.818021609",,,,"105761.35920289434","253875.09307772151","506802.07210882776",,,"73353.138988209481","215624.10729054757","339218.27590189927","1038754.3872551988",,,,,,,,,,,,,,,,,,,,,"1.5212318198738122","2.9185321422665549",,"1118.141915197449","3286.8171098628291","5170.7967500599079","15834.016594326957",,
"1899",,"34.687291526612988","20.381234211561097","16.090431791856652","9.2066997159812463",,,,"14.306057315051891","4.2908024197044448","6.8837320758754057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1386","1386",,"639",,"1.5695732067854996E-2","29373.523901008291",,"29373.523901008291",,"203777.59734364177","598668.67024533777","945265.36563129013","2704332.1415678137",,,,"105054.82911821779","252071.9748593854","505498.67164715915",,,"72667.543262196166","214347.20687291407","337726.21010843437","1044160.5489101644",,,,,,,,,,,,,,,,,,,,,"1.5270124716363036","2.8974883021176576",,"1140.5702890726927","3364.3363285703463","5300.8601061540876","16388.864211518343",,
"1900",,"34.230778012981183","20.180621161610297","16.019862931868161","9.4303723178281853",,,,"14.050156851370886","4.1607582297421359","6.5894906140399758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1402","1402",,"667",,"1.6337610591370639E-2","29119.859812985327",,"29119.859812985327",,"199359.09140548648","587656.85916505696","932992.32559848181","2746111.1987941428",,,,"102284.64946559389","242321.39273163196","479712.60729956673",,,"70675.561100663064","207382.44283780712","323146.9388198831","980741.1922320025",,,,,,,,,,,,,,,,,,,,,"1.4934416043697281","3.0265822564299132",,"1154.6697955892555","3388.1335945712735","5279.4488502327222","16022.967689603032",,
"1901",,"34.394454798429102","19.840786455779263","15.655799684777588","9.0902751030460749",,,,"14.553668342649839","4.1849867710016753","6.5655245817315127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1418","1418",,"657",,"1.6154326281788516E-2","28681.39616557159",,"28681.39616557159",,"197296.19679451795","569061.45657471207","898060.38609587355","2607217.8148449655",,,,"104354.88184946944","240062.52705355056","470771.02890860057",,,"72036.18099204902","209095.16299735478","320537.571627445","946752.74339696951",,,,,,,,,,,,,,,,,,,,,"1.5128177787291159","2.9500103964379649",,"1163.6959718395319","3377.7914870030222","5178.0685176419038","15294.152725013044",,
"1902",,"34.597307128036682","19.706413530790005","15.411221597530384","8.8971385356647161",,,,"14.890893597246677","4.2951919332596216","6.5140830618656675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1429","1429",,"652.20342831989512",,"1.5787757662624264E-2","28908.822135075014",,"28908.822135075014",,"200033.47962339511","569689.20368184382","891040.52809446491","2572057.95438653",,,,"107619.54860878288","248337.87926922276","470786.17152144859",,,"74487.666866632659","213942.50895801352","325809.94418416725","935504.66882886377",,,,,,,,,,,,,,,,,,,,,"1.5275506882897756","2.8955524505935535",,"1175.9932333446832","3377.6724851629383","5143.80844285277","14769.521003723668",,
"1903",,"34.428800443786102","19.459146288660307","15.194669050015623","8.7396701665634424",,,,"14.969654155125795","4.2644772386446839","6.4549988834521805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1435","1435",,"648",,"1.5603706473085732E-2","28939.787160811073",,"28939.787160811073",,"199272.43140904151","563143.55192491598","879460.97657283093","2529241.9447603626",,,,"108304.6512800729","246826.12727700092","467015.73452594806",,,"74972.002615786783","212918.32775440998","324373.96309752774","919266.42805563193",,,,,,,,,,,,,,,,,,,,,"1.5328694896216364","2.8766321200150702",,"1169.8411225161526","3322.3150890200764","5061.4361076853656","14343.963513942064",,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5695732067854996E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5879016377437126E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906","42.187156587210254","32.355031892316916","17.981705320351843","13.987766343110836","8.0294846171052878",,,"9.8321246948933378","14.373326571965073","3.9939389772410063","5.9582817260055485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1446.345","1446.345",,"707.65530959600608",,"1.6337610591370639E-2","29947.552200806873",,"29947.552200806873","126340.20740990924","193790.8013107864","538508.05874076346","837798.72546600248","2404634.0971633638",,"19237.257177573272","58889.613509032111","107611.48695329213","239217.3920155245","446089.88254166208",,"53372.298780720892","74924.946178695682","208617.24938164826","312886.23896036734","879910.6110440573",,,,,,,,,,,,,,,,,,,,,"1.5388005619378569","2.8559743078280904","871.97583384570385","1224.0945942469336","3408.3073830402263","5111.8135315330219","14375.636918452801",,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6973354075234995E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.715740526477353E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.715740526477353E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910","29.89193626084646","21.535239422175358","10.44712875140198","7.7059615419106358",,,,"8.3566968386711018","11.088110670773379","2.7411672094913442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495.617566094194","1495.617566094194",,"865.76208146970839",,"1.7523973883937775E-2","33032.801387079831",,"33032.801387079831","98741.439357979078","142273.85733118607","345097.92911031289","509098.99422081898",,,"25731.841612535467","55209.021384772081","91567.83938640439","181096.86399980681",,,"48558.970549780664","65150.486394439518","164056.33638796935","244328.09780488687",,,,,,,,,,,,,,,,,,,,,,,,"850.94613174525989","1141.6954221020014","2874.9189543572852","4281.5992050450322",,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.806845865298928E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8979512041205026E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913","33.205371082046703","23.956431733910925","11.610227933240612","8.373533897935582",,,,"9.248939348135778","12.346203800670313","3.23669403530503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1549.5274529877925","1549.5274529877925",,"1129.6983861298404",,"1.9621390564720672E-2","37156.384705204786",,"37156.384705204786","123379.15422036094","178026.87873383408","431394.09560260281","622260.49370753497",,,"27576.076981298545","68731.429706887779","114685.07451664191","240527.69749767074",,,"61513.657781018177","84032.834877701389","203139.31081260537","299031.72867534455",,,,,,,,,,,,,,,,,,,,,,,,"1206.9835043859264","1648.8410733960602","3985.8757565023147","5867.4183395825175",,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.0079984778654188E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3638307776399199E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9110763145344984E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.134019781022423E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.1471448914364192E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.1196139010012798E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.7070439476117715E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.3399385124780339E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.4493608190984468E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.2058764329380931E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6012797384633791E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6860199736467469E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.9679135824638952E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.588768132014513E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4518800597952266E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929","41.317856842431844","28.254046352949381","12.574948741186329","9.0636345713842168","4.3459317273631326",,,"13.063810489482464","15.679097611763051","3.5113141698021124","4.7177028440210842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1916.8818134553983","1916.8818134553983",,"2655.6827779765304",,"3.2991175724782426E-2","41993.596135406282",,"41993.596135406282","173508.53934216159","237297.80234736102","528067.31886081432","761229.21941923001","1825013.0179093601",,"27380.824667989029","109719.27633696217","164605.42321899769","294905.41830239858","495283.2697966976",,"96867.530455346161","126577.77353524712","252097.7278450632","354791.59727908566","832341.99400627264",,,,,,,,,,,,,,,,,,,,,"1.856745834898561","2.1672073084760317","3195.7737192780387","4175.9495695530522","8317.0004391548555","11704.991931510553","27459.94098737674",,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.20739872969154E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0362311234207021E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9720432710691379E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9291746815057876E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9362299771047644E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0010313334214573E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
