"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"19052000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"19674000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"18509000000";"2"
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"18509000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Net acquisition of financial assets";"F";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"25218000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Net acquisition of financial assets";"F";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"25197000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Net acquisition of financial assets";"F";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"25690000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Net acquisition of financial assets";"F";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"25690000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Monetary gold and SDRs";"F.1";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"31000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Monetary gold and SDRs";"F.1";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"31000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Monetary gold and SDRs";"F.1";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"-31000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Monetary gold and SDRs";"F.1";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"-31000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Currency and deposits";"F.2";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"2136000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Currency and deposits";"F.2";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"2145000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Currency and deposits";"F.2";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"2191000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Currency and deposits";"F.2";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"2191000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Securities other than shares";"F.3";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"7403000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Securities other than shares";"F.3";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"7403000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Securities other than shares";"F.3";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"7813000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Securities other than shares";"F.3";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"7813000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Loans";"F.4";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"5183000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Loans";"F.4";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"5097000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Loans";"F.4";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"5309000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Loans";"F.4";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"5309000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Shares and other equity";"F.5";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"9891000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Shares and other equity";"F.5";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"9947000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Shares and other equity";"F.5";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"10170000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Shares and other equity";"F.5";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"10170000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Insurance technical reserves";"F.6";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"-49000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Insurance technical reserves";"F.6";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"-49000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Insurance technical reserves";"F.6";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"0";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Insurance technical reserves";"F.6";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"0";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Other accounts receivable";"F.8";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"623000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Other accounts receivable";"F.8";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"623000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Other accounts receivable";"F.8";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"238000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in assets";"Other accounts receivable";"F.8";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"238000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods and services";"P.7";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"68771000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods and services";"P.7";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"68771000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods";"P.71";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"51326000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of goods";"P.71";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"51326000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of services";"P.72";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"17445000000";""
"Australia";"4.2";"V.I External account of goods and services - Resources";"Imports of services";"P.72";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"17445000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods and services";"P.6";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"60899000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods and services";"P.6";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"60899000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods";"P.61";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"48927000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of goods";"P.61";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"48927000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of services";"P.62";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"11972000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"Exports of services";"P.62";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"11972000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"7872000000";""
"Australia";"4.2";"V.I External account of goods and services - Uses";"EXTERNAL BALANCE OF GOODS AND SERVICES";"B.11";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"7872000000";""
"Australia";"4.2";"V.II External account of primary income and current transfers - Resources";"Current taxes on income, wealth, etc.";"D.5";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"2229000000";""
"Australia";"4.2";"V.II External account of primary income and current transfers - Resources";"Current taxes on income, wealth, etc.";"D.5";"1989";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"2229000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in liabilities and net worth";"Capital transfers, receivable less payable";"D.9";"1989";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"-1963000000";""
