"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,161129.4091,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,183527.4773,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,166494.6101,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,200420.6703,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,194595.52,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,230904.6989,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,307429.5929,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,334362.1111,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,325788.8215,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,415676.5745,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,443066.3555,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,390635.9869,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,343883.7475,,
