Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value
2000,826,"United Kingdom",15,"Receipts",5074.369,,,0.30468,,
2000,826,"United Kingdom",16,"Payments",5366.131,,,0.3222,,
2000,840,"United States",15,"Receipts",4395,,,0.04287,,
2000,840,"United States",16,"Payments",35315,,,0.3445,,
2000,887,"Yemen",15,"Receipts",1288,"Imputed from EIU",,11.85506,,
2001,008,"Albania",15,"Receipts",699.3,,,17.808,,
2001,012,"Algeria",15,"Receipts",670,"Imputed from EIU",,1.21693,,
2001,660,"Anguilla",15,"Receipts",2.216,"Imputed from IMF_bop",,1.43012,,
2001,028,"Antigua and Barbuda",15,"Receipts",23.881,,,3.08629,,
2001,533,"Aruba",16,"Payments",39.112,,,2.06236,,
2001,036,"Australia",15,"Receipts",486.745,,,0.12441,,
2001,036,"Australia",16,"Payments",855.078,,,0.21855,,
2001,044,"Bahamas",16,"Payments",53.62,,,0.64464,,
2001,048,"Bahrain",16,"Payments",1286.919,,,14.337,,
2001,050,"Bangladesh",15,"Receipts",2104.551,,,4.63222,,
2001,050,"Bangladesh",16,"Payments",3.7,,,0.00814,,
2001,052,"Barbados",15,"Receipts",129.95,,,4.12906,,
2001,084,"Belize",16,"Payments",16.03,,,1.37227,,
2001,204,"Benin",15,"Receipts",83.064,,,2.26764,,
2001,068,"Bolivia (Plurinational State of)",16,"Payments",36.38,,,0.44685,,
2001,070,"Bosnia and Herzegovina",15,"Receipts",1500.017,,,25.85961,,
2001,072,"Botswana",16,"Payments",129.092,,,2.35155,,
2001,076,"Brazil",15,"Receipts",1448.914,,,0.25874,,
2001,076,"Brazil",16,"Payments",344.833,,,0.06158,,
2001,100,"Bulgaria",15,"Receipts",826.2,,,5.8251,,
2001,132,"Cabo Verde",15,"Receipts",80.954,,,12.48787,,
2001,116,"Cambodia",16,"Payments",52.346,,,1.31135,,
2001,120,"Cameroon",16,"Payments",41.762,,,0.3816,,
2001,124,"Canada",15,"Receipts",611.189,,,0.0827,,
2001,124,"Canada",16,"Payments",1774.974,,,0.24018,,
2001,344,"China, Hong Kong SAR",15,"Receipts",152.845,,,0.09022,,
2001,344,"China, Hong Kong SAR",16,"Payments",308.511,,,0.18212,,
2001,158,"China, Taiwan Province of",15,"Receipts",305,"Imputed from EIU",,0.10191,,
2001,170,"Colombia",15,"Receipts",2056.359,,,2.10742,,
2001,170,"Colombia",16,"Payments",204.463,,,0.20954,,
2001,188,"Costa Rica",15,"Receipts",198.443,,,1.24212,,
2001,188,"Costa Rica",16,"Payments",140.492,,,0.87939,,
2001,191,"Croatia",15,"Receipts",1132.777,,,4.87015,,
2001,191,"Croatia",16,"Payments",100.426,,,0.43176,,
2001,192,"Cuba",15,"Receipts",772.5,"Imputed from EIU",,2.43827,,
2001,531,"Curacao",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,531,"Curacao",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,203,"Czechia",15,"Receipts",256.461,,,0.37821,,
2001,203,"Czechia",16,"Payments",711.113,,,1.04871,,
2001,208,"Denmark",15,"Receipts",698.623,,,0.42394,,
2001,208,"Denmark",16,"Payments",744.817,,,0.45198,,
2001,262,"Djibouti",15,"Receipts",11.946,,,2.09735,,
2001,214,"Dominican Republic",15,"Receipts",1981.8,,,7.86174,,
2001,218,"Ecuador",15,"Receipts",1420.558,,,5.8057,,
2001,818,"Egypt",15,"Receipts",2911.4,,,3.20906,,
2001,222,"El Salvador",15,"Receipts",1924.3,,,15.66696,,
2001,222,"El Salvador",16,"Payments",25.7,,,0.20924,,
2001,748,"Eswatini",15,"Receipts",52.717,,,3.41772,,
2001,231,"Ethiopia",16,"Payments",14.023,,,0.1761,,
2001,234,"Faroe Islands",15,"Receipts",39.04,,,,,"No value reported or collected"
2001,246,"Finland",15,"Receipts",490.718,,,0.37917,,
2001,250,"France",15,"Receipts",9194.24,,,0.66797,,
2001,250,"France",16,"Payments",5384.61,,,0.39119,,
2001,268,"Georgia",15,"Receipts",218.639,,,6.45561,,
2001,268,"Georgia",16,"Payments",19.835,,,0.58567,,
2001,276,"Germany",15,"Receipts",3883.048,,,0.19974,,
2001,276,"Germany",16,"Payments",9184.539,,,0.47243,,
2001,300,"Greece",15,"Receipts",2014.591,,,1.47925,,
2001,300,"Greece",16,"Payments",536.153,,,0.39368,,
2001,308,"Grenada",15,"Receipts",30.897,,,5.9367,,
2001,324,"Guinea",16,"Payments",36.833,,,0.90384,,
2001,328,"Guyana",16,"Payments",24.1,,,1.95576,,
2001,332,"Haiti",15,"Receipts",623.58,,,10.00142,,
2001,332,"Haiti",16,"Payments",19.34,,,0.31019,,
2001,340,"Honduras",15,"Receipts",610.442,,,7.97676,,
2001,348,"Hungary",15,"Receipts",364.256,,,0.67769,,
2001,348,"Hungary",16,"Payments",314.975,,,0.58601,,
2001,352,"Iceland",15,"Receipts",39.346,,,0.4778,,
2001,352,"Iceland",16,"Payments",14.3,,,0.17365,,
2001,356,"India",15,"Receipts",14273.019,,,2.90895,,
2001,356,"India",16,"Payments",751.085,,,0.15308,,
2001,360,"Indonesia",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,360,"Indonesia",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,364,"Iran (Islamic Republic of)",15,"Receipts",682,"Imputed from EIU",,0.56122,,
2001,376,"Israel",15,"Receipts",3393,,,2.52038,,
2001,376,"Israel",16,"Payments",3038.7,,,2.2572,,
2001,380,"Italy",15,"Receipts",1932.443,,,0.16559,,
2001,388,"Jamaica",15,"Receipts",1046.6,,,11.38261,,
2001,388,"Jamaica",16,"Payments",179.4,,,1.95112,,
2001,392,"Japan",15,"Receipts",1249.546,,,0.02856,,
2001,392,"Japan",16,"Payments",2345.078,,,0.05361,,
2001,400,"Jordan",15,"Receipts",2011.334,,,21.72995,,
2001,400,"Jordan",16,"Payments",193.235,,,2.08766,,
2001,398,"Kazakhstan",15,"Receipts",85.039,,,0.38388,,
2001,412,"Kosovo",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,412,"Kosovo",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,414,"Kuwait",16,"Payments",1784.913,,,5.11589,,
2001,417,"Kyrgyzstan",16,"Payments",13.344,,,0.87375,,
2001,428,"Latvia",15,"Receipts",273.693,,,3.27306,,
2001,426,"Lesotho",15,"Receipts",401.259,,,53.29102,,
2001,434,"Libya",16,"Payments",683,,,2.00521,,
2001,442,"Luxembourg",15,"Receipts",576.638,,,2.6985,,
2001,442,"Luxembourg",16,"Payments",3138.724,,,14.68833,,
2001,462,"Maldives",15,"Receipts",1.823,,,0.20551,,
2001,462,"Maldives",16,"Payments",49.963,,,5.63207,,
2001,466,"Mali",16,"Payments",23.308,,,0.67262,,
2001,480,"Mauritius",15,"Receipts",182.464,"Imputed from EIU",,3.78761,,
2001,499,"Montenegro",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,499,"Montenegro",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,500,"Montserrat",16,"Payments",1.395,"Imputed from IMF_bop",,3.88158,,
2001,504,"Morocco",15,"Receipts",3260.92,,,8.22647,,
2001,504,"Morocco",16,"Payments",26.568,,,0.06702,,
2001,528,"Netherlands (Kingdom of the)",16,"Payments",1534.123,,,0.35577,,
2001,530,"Netherlands Antilles",16,"Payments",43.512,"Imputed from IMF_bop",,1.50092,,
2001,554,"New Zealand",16,"Payments",215.634,,,0.39852,,
2001,807,"North Macedonia",15,"Receipts",73.439,,,1.97968,,
2001,807,"North Macedonia",16,"Payments",20.521,,,0.55317,,
2001,578,"Norway",15,"Receipts",278.971,,,0.16011,,
2001,578,"Norway",16,"Payments",1022.441,,,0.5868,,
2001,512,"Oman",15,"Receipts",39.012,,,0.17568,,
2001,512,"Oman",16,"Payments",1531.86,,,6.89851,,
2001,604,"Peru",15,"Receipts",753.211,,,1.44712,,
2001,620,"Portugal",15,"Receipts",4023.247,,,3.31137,,
2001,620,"Portugal",16,"Payments",250.512,,,0.20619,,
2001,410,"Republic of Korea",15,"Receipts",4516.2,,,0.82464,,
2001,410,"Republic of Korea",16,"Payments",4486.5,,,0.81922,,
2001,498,"Republic of Moldova",16,"Payments",39.39,,,2.21628,,
2001,643,"Russian Federation",15,"Receipts",986.41,,,0.31943,,
2001,659,"Saint Kitts and Nevis",15,"Receipts",12.739,,,2.6575,,
2001,662,"Saint Lucia",15,"Receipts",25.967,,,2.93925,,
2001,670,"Saint Vincent and the Grenadines",15,"Receipts",41.89,,,9.06569,,
2001,670,"Saint Vincent and the Grenadines",16,"Payments",10.764,,,2.32949,,
2001,682,"Saudi Arabia",16,"Payments",15119.733,,,8.21111,,
2001,688,"Serbia",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,688,"Serbia",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,534,"Sint Maarten (Dutch part)",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,534,"Sint Maarten (Dutch part)",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,705,"Slovenia",15,"Receipts",198.2,,,0.94938,,
2001,710,"South Africa",15,"Receipts",281.612,,,0.20794,,
2001,710,"South Africa",16,"Payments",520.76,,,0.38452,,
2001,724,"Spain",15,"Receipts",2413.34,,,0.38473,,
2001,724,"Spain",16,"Payments",573.85,,,0.09148,,
2001,144,"Sri Lanka",15,"Receipts",1169.81,,,6.37005,,
2001,144,"Sri Lanka",16,"Payments",188.27,,,1.0252,,
2001,275,"State of Palestine",15,"Receipts",805.742,,,20.12495,,
2001,275,"State of Palestine",16,"Payments",4.901,,,0.12241,,
2001,729,"Sudan",15,"Receipts",,,"Not applicable",,,"Not applicable"
