alpha2;year;p2;shweal992i;ahweal992i
GB;2001;p90p100;.5023995590209961;533568.3886299102
GB;2002;p90p100;.5084562301635742;558952.0217113915
GB;2003;p90p100;.5025529861450195;582677.0412860768
GB;2005;p90p100;.5118914413452148;630927.1880069542
GB;2006;p90p100;.5197729492187499;653426.2187508662
GB;2009;p90p100;.5401348876953125;630282.5740414266
GB;2012;p90p100;.51916015625;614837.7176176818
GB;1895;p90p95;.0356620788574219;
GB;1896;p90p95;.0358937072753906;
GB;1897;p90p95;.03486572265625;
GB;1898;p90p95;.0360700988769531;
GB;1899;p90p95;.0345378112792969;
GB;1900;p90p95;.0359654998779297;
GB;1901;p90p95;.0310595703125;
GB;1902;p90p95;.0357036590576172;
GB;1903;p90p95;.0374897003173828;
GB;1904;p90p95;.0379801940917969;
GB;1905;p90p95;.0347528076171875;
GB;1906;p90p95;.0343587493896484;
GB;1907;p90p95;.0375448608398437;
GB;1908;p90p95;.0398103332519531;
GB;1909;p90p95;.0378480529785156;
GB;1910;p90p95;.0412049865722656;
GB;1911;p90p95;.0492238616943359;36162.11009157199
GB;1912;p90p95;.0477437591552734;35725.68263415198
GB;1913;p90p95;.0501030731201172;37994.07666038493
GB;1914;p90p95;.047352294921875;38370.59681814576
GB;1919;p90p95;.0533852386474609;
GB;1920;p90p95;.0661400604248047;30030.07809170008
GB;1921;p90p95;.0660301971435547;
GB;1922;p90p95;.0605343627929687;
GB;1923;p90p95;.0617408752441406;
GB;1924;p90p95;.0625956726074219;39630.35981078227
GB;1925;p90p95;.0617916870117187;40822.2989315952
GB;1926;p90p95;.0677089691162109;45365.87042556077
GB;1927;p90p95;.0632671356201172;45450.9636127563
GB;1928;p90p95;.0658348846435547;46141.76747444487
GB;1929;p90p95;.0721162414550781;47969.81493099058
GB;1930;p90p95;.0694879913330078;51310.43434149064
GB;1931;p90p95;.0837056732177734;
GB;1932;p90p95;.0816992950439453;
GB;1933;p90p95;.0753298187255859;
GB;1934;p90p95;.0823606872558594;
GB;1935;p90p95;.0767411041259766;
GB;1936;p90p95;.0763045501708984;63116.72041180648
GB;1937;p90p95;.0806217956542969;
GB;1938;p90p95;.0752271270751953;62420.08090713299
GB;1939;p90p95;.0901333618164062;
GB;1940;p90p95;.0858368682861328;
GB;1941;p90p95;.0846714019775391;
GB;1946;p90p95;.1076291656494141;
GB;1947;p90p95;.1125131225585937;
GB;1948;p90p95;.1184580230712891;
GB;1949;p90p95;.1152806854248047;
GB;1950;p90p95;.1098858642578125;76103.3227770486
GB;1951;p90p95;.1014620971679688;63103.29347121748
GB;1952;p90p95;.1282678985595703;75503.71783205493
GB;1953;p90p95;.1203207397460938;62970.30450247074
GB;1954;p90p95;.1104667663574219;61843.88166624308
GB;1955;p90p95;.1317127990722656;71871.70133069488
GB;1956;p90p95;.12041748046875;65013.20226241507
GB;1957;p90p95;.1270789337158203;72282.9591577699
GB;1958;p90p95;.1261826324462891;76742.61333723181
GB;1959;p90p95;.1193209457397461;78528.38799125004
GB;1960;p90p95;.1142403411865234;72728.88023648171
GB;1961;p90p95;.114422492980957;75331.23196646923
GB;1962;p90p95;.1164458465576172;78110.80683459128
GB;1963;p90p95;.1171551895141602;84999.68852360974
GB;1964;p90p95;.124962158203125;94862.64957183128
GB;1965;p90p95;.129776725769043;96873.0937043283
GB;1966;p90p95;.1308472061157226;97365.26120411076
GB;1967;p90p95;.1321925735473633;103703.6407006775
GB;1968;p90p95;.1287156295776367;102178.1886976215
GB;1969;p90p95;.1406664276123047;108032.4563331097
GB;1970;p90p95;.1432132339477539;110805.7336365901
GB;1971;p90p95;.1399968719482422;112365.1486040078
GB;1972;p90p95;.1386758422851563;129570.6168897491
GB;1973;p90p95;.146384162902832;144062.999910407
GB;1974;p90p95;.1460926055908203;118968.8297518563
GB;1975;p90p95;.1464191818237305;112443.125735119
GB;1976;p90p95;.1504742813110352;106680.275069133
GB;1977;p90p95;.147748908996582;96342.01001841958
GB;1978;p90p95;.1548285675048828;113662.6899722174
GB;1979;p90p95;.144364013671875;117067.112291397
GB;1980;p90p95;.1375722503662109;118435.6088302082
GB;1981;p90p95;.1474359512329101;115326.4505088529
GB;1982;p90p95;.1412160873413086;119631.1685418474
GB;1983;p90p95;.1361844635009766;128893.0175401621
GB;1984;p90p95;.1287827301025391;137833.0041853768
GB;1985;p90p95;.134902458190918;144782.5840328514
GB;1986;p90p95;.1354068374633789;154747.7814373648
GB;1987;p90p95;.1386110687255859;189434.1737502052
GB;1988;p90p95;.1365257263183594;213805.5565193458
GB;1989;p90p95;.1319133758544922;215432.6271731296
GB;1990;p90p95;.1217625427246094;186868.0973743078
GB;1991;p90p95;.1231859970092773;
GB;1992;p90p95;.123527946472168;174552.8391372507
GB;1993;p90p95;.1240748977661133;175423.8537234133
GB;1994;p90p95;.1273474884033203;182102.4301575549
GB;1995;p90p95;.1229032135009766;178148.7845677248
GB;1996;p90p95;.1268125152587891;181693.9228573591
GB;1997;p90p95;.1222715377807617;179769.8520111603
GB;1998;p90p95;.1265881729125977;
GB;1999;p90p95;.1230106353759766;213876.3397969763
GB;2000;p90p95;.1241725540161133;230585.6070487424
GB;2001;p90p95;.1264041900634766;268492.5923886786
GB;2002;p90p95;.1307295989990234;287425.2268853741
GB;2003;p90p95;.1337238311767578;310087.9248463073
GB;2005;p90p95;.1393605041503906;343535.0697474963
GB;2006;p90p95;.1335747146606445;335843.6442397388
GB;2009;p90p95;.1366536331176758;318921.8308079637
GB;2012;p90p95;.129544563293457;306837.4283590969
GB;1895;p95p100;.8946566772460938;
GB;1896;p95p100;.8931132507324219;
GB;1897;p95p100;.8930167388916016;
GB;1898;p95p100;.8902194213867187;
GB;1899;p95p100;.8913768768310547;
GB;1900;p95p100;.8906051635742187;
GB;1901;p95p100;.8983222198486328;
GB;1902;p95p100;.8899299621582031;
GB;1903;p95p100;.886457290649414;
GB;1904;p95p100;.8856856536865234;
GB;1905;p95p100;.8904122924804687;
GB;1906;p95p100;.8910874938964843;
GB;1907;p95p100;.8845280456542969;
GB;1908;p95p100;.8806695556640625;
GB;1909;p95p100;.883756332397461;
GB;1910;p95p100;.8777757263183594;
GB;1911;p95p100;.8777723693847657;644851.9064623566
GB;1912;p95p100;.8807076263427734;659015.5804420765
GB;1913;p95p100;.8756295013427734;664005.8648768598
GB;1914;p95p100;.8823031616210938;714949.4853796149
GB;1919;p95p100;.8319560241699219;
GB;1920;p95p100;.8135984039306641;369404.3133374191
GB;1921;p95p100;.8157503509521484;
GB;1922;p95p100;.8277117156982422;
GB;1923;p95p100;.8215628814697266;
GB;1924;p95p100;.8166970062255859;517064.4369635079
GB;1925;p95p100;.8198560333251953;541632.8585902783
GB;1926;p95p100;.8044081878662109;538963.7162746518
