"Data Source","World Development Indicators",

"Last Updated Date","2016-07-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Austria","AUT","Consumer price index (2010 = 100)","FP.CPI.TOTL","17.7873065186097","18.4173785165744","19.2243885414159","19.7451329780994","20.5089873866257","21.5202673286249","21.994979107935","22.8692795273472","23.5034680915891","24.2274694872437","25.2868943142392","26.4764561010485","28.1609049177129","30.2797545717954","33.1629297499157","35.963623756271","38.5956895895389","40.7088035943412","42.1657908763138","43.7289163046902","46.4949407252739","49.6597872716806","52.3614855429159","54.107940496746","57.1730815116807","58.9967278448509","60.0002157742434","60.8402187950828","62.0152230206615","63.6052287386789","65.6802362008719","67.8702440766318","70.6052539123409","73.1652631187088","75.3302709045625","77.0252770001849","78.4452821068422","79.4715984665388","80.203750312526","80.6548237353112","82.5866563880323","84.7863030252521","86.3142386865571","87.4842636886407","89.2875139594966","91.3453821151762","92.669541628469","94.6791724310359","97.7239794982914","98.2187682306858","100","103.266938911577","105.833819484957","107.950662555212","109.684140345029","110.66753215668",
"Azerbaijan","AZE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","1.46918009314581","1.53436555802106","1.51765133625603","1.6095795559595","1.67434716530733","1.67100432095433","1.7353540747455","1.80179310626148","1.9100176921942","2.21031654322803","2.5575545004062","2.73291454375064","2.91969597198178","3.61737544549025","4.93919181673551","5.06259848743395","5.67858480969611","6.01180963805591","6.50184615034976","7.43270699753261","7.71546849143493","7.84475472021031","8.40277076569895","8.77978609090203","9.80364961233302","10.4901177818952","11.4339072519557","11.642385494183","12.7692923364237","14.6658917018418","17.4910196186792","22.1150822764909","28.9954359653552","32.6199845642252","33.7243094396432","41.9252794161084","45.8004211489171","45.1725090756639","50.0338253089537","53.9623252756048","61.2600165791655","62.9808196205848","68.2347000028584","84.6842812360054","93.9838591342626","100","109.735019199436","129.501386361254","139.79761984164","145.920531971304","154.025256239555",
"Belgium","BEL","Consumer price index (2010 = 100)","FP.CPI.TOTL","15.5554086129461","15.7083410009947","15.9290005894648","16.2720060881554","16.9514628407715","17.6396585872088","18.3759187982429","18.9111821561946","19.4224132821756","20.1499344993885","20.9386286720393","21.8474840068193","23.037625698134","24.6399565876588","27.7637826758822","31.3087190183761","34.1761906075752","36.606407699489","38.2429318030207","39.9520406520117","42.6092409683434","45.8595908530567","49.8612302668284","53.6822808296388","57.0897729464956","59.8687183787295","60.644318437961","61.5870240076156","62.302696573273","64.2374757747001","66.4554821221865","68.5877408015994","70.2543636592349","72.189142860662","73.9056552706308","74.9897136682077","76.5336913763568","77.7792460646398","78.5216043120343","79.3998064655241","81.4202454068864","83.4349444648926","84.8048632925587","86.1556491757043","87.9579725495331","90.4069894481541","92.0261250269145","93.7028995908993","97.9096389865786","97.8576042489055","100","103.532082107227","106.47204478576","107.658077944448","108.02411540946","108.629692097897",
"Benin","BEN","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3860104527839","38.5551389134825","53.410767888681","61.1353259482333","64.1396624228284","66.3629329152872","70.1810012131858","70.4102986109644","73.3431723034846","76.2653810007586","78.1637501544623","79.3262346362246","80.0194593271838","84.3121199135082","87.5009534919205","88.6367754855691","95.6810048452392","97.7446814252485","100","102.712800519818","109.649122807018","110.714749837557","109.512670565302","109.863547758285",
"Burkina Faso","BFA","Consumer price index (2010 = 100)","FP.CPI.TOTL","10.7133005080714","12.7019182107387","12.9147908725139","13.6346875107085","13.8862642929093","13.7848594976069","14.1107481908154","13.4992230895676","13.4605189692272","14.7602033299891","15.0218431834454","15.3314761461065","14.8832824326469","16.014990911173","17.4114355727664","20.6772892464645","18.9402483259129","24.619690943546","26.6555276729959","30.6521151385352","34.3924813274804","36.9910759666363","41.452112876175","44.8320198249937","47.0050088538346","50.2512019442368","48.9387697328474","47.6263375212922","49.6531315695681","49.4139034196077","49.1647074300655","50.2279436521121","49.2278370807498","49.5002913626491","61.9634134529494","66.5851684056576","70.6454017285973","72.2834500331878","75.9585816558613","75.1438395576924","74.9152428538897","78.6665733778311","80.378117929379","82.0134635796595","81.6852221588147","86.9253619844447","88.9534250489503","88.7482741609223","98.2086608259859","100.770116199365","100","102.759767248546","106.683291770574","107.252701579385","106.975893599335","107.997506234414",
"Bangladesh","BGD","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2800028287658","26.6775793190573","28.6551258370912","30.3874656686181","32.2492201402459","34.299420491319","35.5458878143966","36.6175318517239","38.5632923178032","42.5344675825385","43.545566759","45.8559208091063","49.708844392463","52.7444123541293","53.9091441150379","54.9911943003265","56.8238115576626","60.0449873584211","64.6009226216381","69.1531029680564","73.8314909913831","80.5553137783967","87.7263034206632","92.484115240665","100","110.7048045957","117.588631237463","126.443023213017","135.282864010305","143.66266371007",
"Bulgaria","BGR","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","0.0248348625322642","0.0255054038206353","0.0262007799715387","0.0268216515348453","0.0285352570495715","0.0353266482273696","0.154889375265074","0.296300172895744","0.512240157778667","1.00428441888399","1.62749144473476","3.60664310339058","41.778410632634","49.5793840001088","50.8550660442069","56.1014067781677","60.2310035700377","63.7305034866498","65.1052386622919","69.2369037910506","72.7256430410722","78.00669801782","84.5612004855287","95.0034704059497","97.6190798145944","100","104.219903466019","107.299151694355","108.254214513041","106.719036964958","106.607118221333",
"Bahrain","BHR","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","17.965654749727","18.3491265694073","19.1304504018123","19.7535921087149","19.7152449267516","20.0364025755978","21.1964048301295","22.2749193227975","25.4673222211887","31.6795656992326","36.7989144913243","45.0771123977812","53.069789692663","61.4471412957605","62.8026602869676","65.2328249647511","72.6332259437298","79.0872060052621","81.437993444915","81.7005489251881","79.5469475351624","77.7204754707078","76.3642518107051","76.5959684159317","77.7341058592505","78.4565164520158","79.0562535478963","78.919949662469","80.9236167782519","81.5846906225748","83.7907690082171","83.4118442067292","85.440046021889","85.1268793193387","84.0307958604124","83.4385023142846","82.4309224886878","82.0224441810135","83.3295747655714","85.2902706424084","87.49605350385","89.2525102268498","92.1591669765712","95.4087021197468","98.0758646336922","100","99.6355522499064","102.380066939382","105.764224618817","108.568240981778","110.56154704351",
"Bahamas, The","BHS","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","13.9623368968273","14.7215747788535","15.390086121392","16.7653094545185","17.7967269545306","18.6180408895538","19.8898041340179","20.9801142998882","23.7226024979529","26.1801775286024","27.294363099484","28.1650195384886","29.8856403987206","32.6026614980059","36.5468784190308","40.6088806717566","43.0505387656631","44.7725603162896","46.5483950403732","48.6919531164135","51.3377674780532","54.2930075870713","56.6832093747896","59.7371069684788","62.5264231260044","66.9749787984559","70.8181362695158","72.7464416517276","73.7644075162908","75.2891140975746","76.3274544374358","76.7427905733803","77.7685449697281","78.743955592022","80.0088429151256","81.6450155718767","83.4196336072759","85.9431152817263","86.7870027943044","88.1683100949079","90.2753795352439","92.5255637392711","96.6795543958914","98.6737971456012","100","103.198781416603","105.24686247889","105.611940792742","107.200834842901","109.206356361574",
