currency;lcu_to_usd;year
CLP;7,197342e+02;2002
CNY;8,276837e+00;2002
COP;2,854918e+03;2002
CRC;3,780900e+02;2002
CVE;1,051416e+02;2002
CYP;5,454210e-01;2002
CZK;3,011308e+01;2002
DJF;1,777210e+02;2002
DKK;7,084771e+00;2002
DOP;2,025538e+01;2002
DZD;7,878655e+01;2002
EEK;1,489575e+01;2002
EGP;4,622720e+00;2002
ETB;8,344922e+00;2002
EUR;9,529550e-01;2002
FJD;2,050710e+00;2002
FKP;6,203960e-01;2002
GBP;6,207210e-01;2002
GEL;2,173729e+00;2002
GIP;6,201000e-01;2002
GMD;2,236130e+01;2002
GNF;1,969877e+03;2002
GTQ;7,575770e+00;2002
GYD;1,779928e+02;2002
HKD;7,798813e+00;2002
HNL;1,691056e+01;2002
HRK;7,113425e+00;2002
HTG;3,579937e+01;2002
HUF;2,258060e+02;2002
IDR;8,984463e+03;2002
IEP;7,744360e-01;2002
ILS;4,741229e+00;2002
INR;4,794789e+01;2002
IQD;3,107110e+03;2002
IRR;7,944360e+03;2002
ISK;8,080481e+01;2002
JMD;5,026137e+01;2002
JOD;7,093000e-01;2002
JPY;1,186907e+02;2002
KES;7,708593e+01;2002
KGS;4,836750e+01;2002
KHR;3,813426e+03;2002
KMF;4,691218e+02;2002
KPW;2,198427e+00;2002
KRW;1,186847e+03;2002
KWD;2,992600e-01;2002
KZT;1,549614e+02;2002
LAK;1,067295e+04;2002
LBP;1,511829e+03;2002
LKR;9,663999e+01;2002
LSL;8,587680e+00;2002
LTL;3,292171e+00;2002
LVL;5,854870e-01;2002
LYD;1,213979e+00;2002
MAD;1,015248e+01;2002
MDL;1,377134e+01;2002
MKD;5,851473e+01;2002
MMK;6,277324e+00;2002
MNT;1,118633e+03;2002
MOP;8,032271e+00;2002
MRO;2,615810e+02;2002
MTL;3,977660e-01;2002
MUR;2,902918e+01;2002
MVR;1,177000e+01;2002
MWK;8,660608e+01;2002
MXN;1,043589e+01;2002
MYR;3,800102e+00;2002
NAD;8,554191e+00;2002
NGN;1,247611e+02;2002
NIO;1,456403e+01;2002
NOK;6,938773e+00;2002
NPR;7,644798e+01;2002
NZD;1,906938e+00;2002
OMR;3,844970e-01;2002
PAB;1,000000e+00;2002
PEN;3,514794e+00;2002
PGK;3,891246e+00;2002
PHP;5,355819e+01;2002
PKR;5,812436e+01;2002
PLN;3,834271e+00;2002
PYG;7,144827e+03;2002
QAR;3,640000e+00;2002
RON;3,338277e+00;2002
RUB;3,187599e+01;2002
RWF;4,971012e+02;2002
SAR;3,749765e+00;2002
SBD;7,283217e+00;2002
SCR;5,613522e+00;2002
SEK;8,707717e+00;2002
SGD;1,735094e+00;2002
SHP;6,203960e-01;2002
SIT;2,184508e+02;2002
SKK;3,971019e+01;2002
SLL;2,008429e+03;2002
SOS;2,604863e+03;2002
STD;9,012587e+03;2002
SVC;8,744713e+00;2002
SYP;5,120254e+01;2002
SZL;8,579107e+00;2002
THB;4,317034e+01;2002
TJS;2,950405e+00;2002
TND;1,336150e+00;2002
TOP;2,209345e+00;2002
TRY;1,664161e+00;2002
TTD;6,250500e+00;2002
TWD;3,470913e+01;2002
TZS;9,622485e+02;2002
UAH;5,329913e+00;2002
UGX;1,842577e+03;2002
USD;1,000000e+00;2002
UZS;1,828655e+03;2002
VEF;1,392165e+00;2002
VND;1,538986e+04;2002
VUV;1,462147e+02;2002
WST;3,538659e+00;2002
XAF;6,252867e+02;2002
XCD;2,698884e+00;2002
XDR;7,378080e-01;2002
XOF;6,254954e+02;2002
XPF;1,137901e+02;2002
