currency,lcu_to_usd,year
AED,3.67246,2002
ALL,131.093735,2002
AMD,557.909793,2002
ANG,1.79,2002
ARS,3.372193,2002
AUD,1.77826,2002
AWG,1.79,2002
BBD,2,2002
BDT,57.624774,2002
BGN,1.871273,2002
BHD,0.37645,2002
BIF,1033.355583,2002
BMD,1,2002
BND,1.734233,2002
BOB,7.496129,2002
BRL,3.539602,2002
BSD,1,2002
BTN,47.925527,2002
BWP,5.436569,2002
BYR,1907.514065,2002
BZD,2,2002
CAD,1.577803,2002
CDF,343.053304,2002
CHF,1.383259,2002
CLP,719.734182,2002
CNY,8.276837,2002
COP,2854.918441,2002
CRC,378.090016,2002
CVE,105.141604,2002
CYP,0.545421,2002
CZK,30.11308,2002
DJF,177.721,2002
DKK,7.084771,2002
DOP,20.255383,2002
DZD,78.786545,2002
EEK,14.895754,2002
EGP,4.62272,2002
ETB,8.344922,2002
EUR,0.952955,2002
FJD,2.05071,2002
FKP,0.620396,2002
GBP,0.620721,2002
GEL,2.173729,2002
GIP,0.6201,2002
GMD,22.361304,2002
GNF,1969.876991,2002
GTQ,7.57577,2002
GYD,177.992753,2002
HKD,7.798813,2002
HNL,16.910556,2002
HRK,7.113425,2002
HTG,35.799371,2002
HUF,225.80598,2002
IDR,8984.463254,2002
IEP,0.774436,2002
ILS,4.741229,2002
INR,47.947893,2002
IQD,3107.11,2002
IRR,7944.359683,2002
ISK,80.804806,2002
JMD,50.261371,2002
JOD,0.7093,2002
JPY,118.690677,2002
KES,77.085932,2002
KGS,48.367503,2002
KHR,3813.426147,2002
KMF,469.12177,2002
KPW,2.198427,2002
KRW,1186.846891,2002
KWD,0.29926,2002
KZT,154.961381,2002
LAK,10672.947459,2002
LBP,1511.82863,2002
LKR,96.639995,2002
LSL,8.58768,2002
LTL,3.292171,2002
LVL,0.585487,2002
LYD,1.213979,2002
MAD,10.152475,2002
MDL,13.771336,2002
MKD,58.514733,2002
MMK,6.277324,2002
MNT,1118.632593,2002
MOP,8.032271,2002
MRO,261.581005,2002
MTL,0.397766,2002
MUR,29.029179,2002
MVR,11.77,2002
MWK,86.606084,2002
MXN,10.435891,2002
MYR,3.800102,2002
NAD,8.554191,2002
NGN,124.761133,2002
NIO,14.564032,2002
NOK,6.938773,2002
NPR,76.447983,2002
NZD,1.906938,2002
OMR,0.384497,2002
PAB,1,2002
PEN,3.514794,2002
PGK,3.891246,2002
PHP,53.558195,2002
PKR,58.124357,2002
PLN,3.834271,2002
PYG,7144.826929,2002
QAR,3.64,2002
RON,3.338277,2002
RUB,31.875989,2002
RWF,497.101173,2002
SAR,3.749765,2002
SBD,7.283217,2002
SCR,5.613522,2002
SEK,8.707717,2002
SGD,1.735094,2002
SHP,0.620396,2002
SIT,218.450795,2002
SKK,39.710191,2002
SLL,2008.429484,2002
SOS,2604.863164,2002
STD,9012.587012,2002
SVC,8.744713,2002
SYP,51.202536,2002
SZL,8.579107,2002
THB,43.170335,2002
TJS,2.950405,2002
TND,1.33615,2002
TOP,2.209345,2002
TRY,1.664161,2002
TTD,6.2505,2002
TWD,34.709127,2002
TZS,962.248498,2002
UAH,5.329913,2002
UGX,1842.577263,2002
USD,1,2002
UZS,1828.654525,2002
VEF,1.392165,2002
VND,15389.863641,2002
VUV,146.214683,2002
WST,3.538659,2002
XAF,625.286748,2002
XCD,2.698884,2002
XDR,0.737808,2002
XOF,625.495375,2002
XPF,113.790121,2002
YER,171.363593,2002
ZAR,8.586564,2002
ZMK,4548.309812,2002
ZWD,55.429682,2002
AED,3.67246,2003
ALL,113.838932,2003
AMD,554.923535,2003
ANG,1.79,2003
ARS,2.93884,2003
AUD,1.329903,2003
AWG,1.79,2003
BBD,2,2003
BDT,58.59141,2003
BGN,1.548508,2003
BHD,0.3765,2003
BIF,1060.28528,2003
BMD,1,2003
BND,1.69848,2003
BOB,7.801626,2003
BRL,2.900058,2003
BSD,1,2003
BTN,45.522195,2003
BWP,4.616297,2003
BYR,2162.840769,2003
BZD,2,2003
CAD,1.289857,2003
CDF,367.277491,2003
CHF,1.237046,2003
CLP,595.650428,2003
CNY,8.275696,2003
COP,2778.833664,2003
CRC,418.701517,2003
CVE,87.301663,2003
CYP,0.465298,2003
CZK,25.756261,2003
DJF,177.721,2003
DKK,5.901719,2003
DOP,32.745021,2003
DZD,72.16476,2003
EEK,12.357022,2003
EGP,6.164403,2003
ETB,8.550644,2003
EUR,0.794112,2003
FJD,1.74267,2003
FKP,0.559368,2003
GBP,0.559487,2003
GEL,2.15616,2003
GIP,0.557539,2003
GMD,31.730282,2003
GNF,2005.1451730000001,2003
GTQ,8.02085,2003
GYD,179.002153,2003
HKD,7.763587,2003
HNL,17.740082,2003
HRK,6.077469,2003
HTG,40.793148,2003
HUF,207.962188,2003
IDR,8463.537982,2003
IEP,0.710723,2003
ILS,4.380669,2003
INR,45.576427,2003
IQD,3109.18,2003
IRR,8302.559921,2003
ISK,70.831354,2003
JMD,59.958047,2003
JOD,0.709,2003
JPY,107.144405,2003
KES,75.956,2003
KGS,43.075864,2003
KHR,3970.419213,2003
KMF,389.523357,2003
KPW,2.20006,2003
KRW,1192.072241,2003
KWD,0.29447,2003
KZT,143.194915,2003
LAK,10496.612101,2003
LBP,1515.11936,2003
LKR,96.379926,2003
LSL,6.611065,2003
LTL,2.733492,2003
LVL,0.532462,2003
LYD,1.213979,2003
MAD,8.763617,2003
MDL,13.123912,2003
