"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,97172,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,91895,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,89064,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,101258,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,92928,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,84796,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,90898,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,86471,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,91059,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,101058,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,-264,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,-262,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,-215,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,-282,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,-297,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,-279,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,-308,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,-334,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,-464,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,-515,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,-578,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,-599,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,-587,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,-655,,
"AUS","Australia","D1_D4NFRS2","Net primary incomes from the rest of the world","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,-651,,
