"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bulgaria","BGR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-313923076.923077","-197714285.714286","-154466666.666667","-79166666.6666667","-38611111.1111111","-62842105.2631579","-131470588.235294","-314153846.153846","-421000000.000003","-636777777.777778","-1636181818.18182","-1110967741.93548","-169742268.041238","-192723055.736754","-192452029.520297","-431984040.731862","-396074518.379439","-356898147.845356","-283501480.948762","-184699515.698973","-323410862.935795","24900078.1797852","343504134.618858","343800780.515056","305506222.109074","83502347.0062574","-851085157.320715","-3246101049.68509","-2592138010.3611","-1666265252.09498","-1062552701.14553","-1807522596.25649","-719988175.786639","-1236221905.34392","-490537291.128919","-1565843544.36124","-1655039334.42753","-1302506209.20696","-2150927480.22462","-1946506782.66843","-2410513344.62419","-3338413255.12487","-2955053664.53107",
"Bahrain","BHR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-208278057.840276","-26861702.1276596","-11436170.212766","11170212.7659574","-111702127.659574","-370212765.957447","-397074468.085106","-396276595.744681","-431117021.276596","-360372340.425532","221542553.191489","191223404.255319","32180851.0638298","-193882978.723404","-242553191.489362","-58894414.893617","-25213829.787234","-236117021.276596","-161987500","-270387500","-223623670.212766","-321571010.638298","-524944414.893617","-492977393.617021","-574772340.425532","-412351329.787234","-384927393.617021","-298686170.212766","-923677393.617021","-2399864893.61702","-2373013297.87234","-3764361702.12766","-1007396010.6383","-1195864095.74468","-1632600000","-1735900000","-1795478723.40426","-1989654255.31915","-2076063829.78723","-2260638297.87234","-2459042553.19149","-2528000000","-1963000000",
"Bahamas, The","BHS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-20196274.5098039","-22647254.9019608","-25196372.5490196","-28235588.2352941","-31666960.7843137","-35686274.5098039","-40490196.0784314","-46372549.0196078","-52941176.4705882","-62745098.0392157","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-152600000","-197500000","-126800000","-140200000","-198900000","-184345100","-152420000","-141320000","-182064700","-218000000","-231600000","-77800000","-152200000","-234900000","-236000000","-279279999.999999","-297580000","-436250000","-494820000","-555949999.999999","-545500000","-835100000","-622180000","-532620000.000001","-506339999.999998","-668809999.999999",
"Bosnia and Herzegovina","BIH","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228005785.280291","809078303.407234","728054820.935889","590357724.955956","532396484.357128","508041738.645058","533295247.591942","504484124.439659","467978447.557801","391899796.8022","468858357.890081","706263350.09991","678319557.408919","279670084.104175","149971178.524696","134678395.227991","242100782.661293","151801523.434559","110534212.800512","22949553.1742697","-151745725.50945","-117575475.939734","-34511752.7128029","-113047636.242916","-341433993.345452","-184813959.467033",
"Belarus","BLR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","-88235294.1176471","-67663981.5880322","-31307692.3076923","-84784283.5130971","-92889659.6574897","11415964.7011633","-52643908.9692102","-43260431.6546763","-30145400.1295424","25144910.2263476","-18614888.9485525","55472602.167312","-114770395.792144","-410971631.998807","-787872121.325594","-1113688261.93588","-1162638701.90129","-682511061.124144","-1470373999.92803","-2652219525.79096","-2364022261.12812","-2392943860.94679","-2250242892.53469","-2055536752.81084","-2169986081.71935","-1910291841.9358","-2496637324.12408","-2557808699.41998","-2715937238.49372",
"Belize","BLZ","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-141260.141260141","-208950.208950209","-155470.155470155","-161630.161630162","-169890.16989017","-210000.21000021","-210000.21000021","-207123.387544428","-1559996.88000624","-1679996.64000672","-1739996.52000696","-2251043.69336648","-2934635.06252021","-4103672.23541114","-10812851.7464509","-12278462.2498125","-8401953.02724165","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-7700000","-9900000","-6200000","-6100000","-6200000","-9700000","-8100000","-9400000","-14950000","-18550000","-25616600","-22571300","-26403750","-23341450","-32152050","-40140738.245","-52899076.99","-67049495.9329185","-67481156.5252215","-89477874.7452305","-116744140.419776","-114426240.153815","-125282543.255211","-158952822.022455","-165177274.268747","-90644785.055244","-138499237.610966","-97185281.2928695","-120163064.381453","-119235531.794375","-137799297.482433","-95465907.962914","-110807859.312981","-125249138.364737","-156243544.77313","-163503828.067674","-58636121.979252","-77930015.7311575","-132483447.547318",
"Bermuda","BMU","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146174000","161578000","283429000","298596000","243841000","239188000","195872000","292963000","234433000","101075000","203082000","311319000","218288469.458165",
"Bolivia","BOL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","-31515750","-67133550","-113956950","-185976383.335","-258048480","-355245760","-411159898.4375","-361222991.37931","-414887982.557398","-372900007.067716","-308500053.50273","-277700000","-264799962.442166","-259100032.087731","-248600000","-247000034.63099","-197699971.567872","-205900025.861161","-182499988.637635","-206599988.084182","-208200016.080047","-196500019.603149","-162200004.972657","-196200008.671105","-225529995.591523","-211159985.814866","-204700000","-301847407.165818","-384719934.475806","-376353330.782729","-397243690.006649","-489437624.223929","-536375783.831637","-673808091.168091","-888938266.558752","-985761303.002669","-1629277945.00724","-1907771099.85528","-1697959696.09262","-1127097742.40232","-620895947.901592","-1109646382.05499","-975655079.59479","-835894211.287988","-417000000","-1029000000","-1274000000",
"Brazil","BRA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22913690000","-12280000000","-9128378378.37838","-7368068251.06642","-10670335478.6556","-20992236821.5235","-10747129732.2449","-11374332106.2581","-14575674216.5062","-17840122807.335","-18481102664.7621","-18875700753.7349","-18181676236.9597","-17102661347.2366","-17715211853.8737","-19773285873.1559","-25774174023.0612","-27717020199.7217","-29675883152.9415","-41583007928.4882","-36886426868.0843","-68231484509.9581","-67227280373.5469","-61508393815.0675","-34360252011.8604","-45766762517.8924","-33912094638.138","-38096364405.0247","-38577536395.5945","-53302910046.3213","-50293809157.1721","-30796020855.9198","-52122376515.9468","-60348530297.4262",
"Barbados","BRB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-27444936.110973","-33411226.5698802","-35201113.7075523","-25655048.9733009","-45393526.5748521","-39327797.9416298","-28300000","-39675831.5517327","-45443245.6620096","-58469646.4972903","-69954755.6306866","-60806443.5936956","-67767115.795754","-85765425.3467906","-95150000","-109600000","-118950000","-133950000","-116850000","-175000000","-256400500","-187817000","-245952050","-190051650","-111949650","-300146400","-172403400","-194599450","-197441350","-212942350","-221435850","-223746800","-240000000","-283000000","-74000000","-197000000","-230000000",
