"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bulgaria","BGR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-313923076.923077","-197714285.714286","-154466666.666667","-79166666.6666667","-38611111.1111111","-62842105.2631579","-131470588.235294","-314153846.153846","-421000000","-636777777.777778","-1636181818.18182","-1110967741.93548","-169742268.041237","-192681159.42029","-192452029.520295","-431812500","-396066891.512085","-356893691.658244","-283493581.004317","-184697339.065136","-323406584.090802","24900169.3596375","343500000","343800023.085358","305506063.107104","83504732.8632234","-851067145.514013","-3246102449.26522","-2592165731.80764","-1666255065.04585","-1054326519.56139","-1804393885.53146","-722151773.981603","-1227592969.59826","-491644281.644282","-1580502153.70664","-1677229072.39819","-2543284613.87348","-3173872752.35839","-2923934405.59994","-2404163988.48658",
"Bahrain","BHR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-208278057.840276","-26861702.1276596","-11436170.2127659","11170212.7659575","-111702127.659574","-370212765.957447","-397074468.085106","-396276595.744681","-431117021.276596","-360372340.425532","221542553.191489","191223404.255319","32180851.0638298","-193882978.723404","-242553191.489362","-58894414.893617","-25213829.787234","-236117021.276596","-161987500","-270387500","-223623670.212766","-321571010.638298","-524944414.893617","-492977393.617021","-574772340.425532","-412351329.787234","-384927393.617021","-298686170.212766","-923677393.617021","-2399864893.61702","-2373013297.87234","-3764361702.12766","-1007396010.6383","-1195864095.74468","-1632600000","-1735900000","-1795478723.40426","-1989654255.31915","-2076063829.78723","-2260638297.87234","-2459042553.19149",
"Bahamas, The","BHS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-20196274.5098039","-22647254.9019608","-25196372.5490196","-28235588.2352941","-31666960.7843137","-35686274.5098039","-40490196.0784314","-46372549.0196078","-52941176.4705882","-62745098.0392157","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-152600000","-197500000","-126800000","-140200000","-198900000","-184345100","-152420000","-141320000","-182064700","-218000000","-231600000","-59340000","-140320000","-207500000","-188120000","-279370000","-297600000","-436210000","-494850000","-556000000","-545530000","-835110000","-622180000","-532580000",
"Bosnia and Herzegovina","BIH","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228000000","809063590.384725","727973529.411765","590318794.159209","532411099.926794","508083301.251203","533274321.984997","504534412.698413","467984993.959433","391892758.642807","468859342.197341","706261234.272019","678315221.251509","279677659.646509","149975122.609994","134635056.150259","242010586.319218","151818928.086839","110590150.913423","22951357.4660633","-151732872.371075","-117538944.193062","-66071543.040293","-172275486.426657",
"Belarus","BLR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","-105000000","-65333333.3333333","-31307692.3076923","-84653846.1538462","-93152173.9130435","-42048192.7710843","-57104602.5104603","-48900000","-51197654.9413735","14201852.7547538","-900000","-47695914.5775302","-99679720.2797203","-372513513.513514","-482689606.741573","-809514142.499105","-1114816717.01913","-1381998190.95477","-1502381672.06429","-2725116103.6036","-2459124608.76369","-2497598141.40399","-2214558655.00603","-2081961134.39942","-2145246662.74048","-1870100009.56114","-2605300008.19807",
"Belize","BLZ","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-141257.174856503","-208945.821083578","-155466.890662187","-161626.767464651","-169886.602267955","-209790.20979021","-209790.20979021","-206896.551724138","-1556886.22754491","-1676646.70658683","-1736526.94610778","-2256097.56097561","-2937500","-4110429.44785276","-10818713.4502924","-12265193.3701657","-8385650.22421525","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-7700000","-9900000","-6200000","-6100000","-6200000","-9700000","-8100000","-9400000","-14950000","-18550000","-25616600","-22571300","-26403750","-23341450","-32152050","-40140750","-52899100","-67049500","-67481150","-89477850","-116744150","-114426250","-125282550","-158952800","-165177250","-90644800","-138499250","-97200000","-120200000","-119200000","-137800000","-95450000","-110800000","-125200000","-156250000","-163450000","-58650000",
"Bermuda","BMU","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146174000","161578000","283429000","298596000","243841000","239188000","195872000","292963000","234911000","103865000","199379501.362721",
"Bolivia","BOL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","-31500000","-67100000","-113900000","-182300297.827641","-263100000","-362200000","-410699786.333124","-361800000","-414899889.744923","-372900007.062034","-308499732.477956","-277700000","-264800187.782241","-259100320.865283","-248600000","-247000586.493884","-197700833.226509","-205899205.176901","-182500660.101721","-206601795.721101","-208200508.414456","-196498448.889481","-162200976.388813","-196200278.714473","-225531527.45209","-211160529.143774","-204700000","-301846106.642991","-384719934.475806","-376351557.754057","-397244532.927256","-489440429.488486","-536377339.983145","-673808091.168091","-888934085.82382","-985755903.128153","-1629277945.00724","-1907771099.41554","-1697959702.11495","-1127097736.45586","-620895949.659897","-1109646376.7856","-975655081.47033","-846902618.867812","-413071222.139925",
"Brazil","BRA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","0","0","0","0","0","-1238738444.1199","-1032670703.03182","-810175889.16795","-675178483.414242","-599032024.248814","-520302243.54305","-463660646.806538","-898254736.047859","-810415500.006078","-1692729017.77704","-2320083832.3662","-2917873473.22267","-4720098101.91149","-6024274804.95134","-7724708204.37072","-10902032026.5667","-14453060026.9443","-11858046681.7018","-11879186473.896","-11878935989.4013","-11963350754.6114","-11128636522.9583","-13220010132.7362","18683700260.9263","-10386605001.1334","-7677820249.21375","-6190913729.40469","-8966049812.94203","-20190566962.0398","-11446743443.1004","-22909530196.0004","-28180568587.3212","-38186700347.8857","-31323249483.2976","-18875699497.6326","-18181678489.9165","-17102661235.419","-17715211174.6138","-19773282843.4296","-25774173651.442","-27717024467.882","-29675878088.7689","-41583015500.2368","-36886423680.2623","-68231495754.3244","-67227290207.4975","-61508406060.064","-34360249589.1448","-45766763261.9486","-33912090739.4874","-38096359801.5494","-38577531002.2902","-53302904764.8346","-50298066344.6381","-27664565909.4265",
"Barbados","BRB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-27444936.110973","-33411226.5698802","-35201113.7075523","-25655048.9733009","-45393526.5748521","-39327797.9416298","-28300000","-39675831.5517327","-45443245.6620096","-58469646.4972903","-69954755.6306866","-60806443.5936956","-67767115.795754","-85765425.3467906","-95150000","-109600000","-118950000","-133950000","-116850000","-175000000","-256400500","-187817000","-245952050","-190051650","-111949650","-300146400","-172403400","-194599450","-197441350","-212942350","-221435850","-223746800","-230396900","-178925350","",
"Brunei Darussalam","BRN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62399973.4589609","54500000","52100027.4989688","-100476714.3381","-497654821.527943","-456946222.791293","-200607416.879795","-15469613.2596685","650584769.80144","835102439.730688","720415670.939242","83868411.2980947","361092141.914675","",
"Bhutan","BTN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-25445292.6208651","-31143187.0669746","-33995771.6701903","-45158415.8415842","-34137323.943662","-34575586.0953921","-35876288.6597938","-31342592.5925926","-26250000","-13074553.2963648","-18623643.6322102","-21600703.6059807","-28317901.2345679","-24083306.0019679","-20210392.0943577","-37240209.6823928","-35184871.577759","-31421096.1167722","-56306349.9757635","-71597770.5527171","-495769.915442813","-237145.581691036","-8042886.23739971","-13795193.2159725","-15976478.3759929","-11568857.1428571","-3555660.27324696","-15957048.0186706","-34018921.8760056","-50572974.447013","-87980964.7944924","-113904929.237955","-142110739.335145","-123435350.815218","-134990291.580301","-142775662.139391","-185486633.737776","-212823241.443699","-220188479.225612","-229547871.849452","-142854598.800439",
"Botswana","BWA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","3793915.60353287","4046592.97607388","4334361.41875789","4722633.85991891","5139829.91774711","5654055.56331146","5509065.55090656","3626917.71269177","4114365.41143654","5152485.72622197","4426856.50474595","3472627.73722628","-7763.9751552795","283388.56072612","3379396.6151582","0","0","0","0","0","-46834791.5594442","37528385.3232939","28746236.7679907","-39657215.7899535","-114063462.723352","-96446967.3078945","-110531637.486031","-236106974.804932","-176528491.742317","-266564097.47382","-105831765.654394","62870993.2726553","112385647.248424","293629111.46878","-224357520.673471","-32429189.8131448","-253083207.989892","-144816122.4937","119571594.216617","-262260790.589049","-352168391.548081","-137129356.981442","-698188944.02478","-715717064.991212","-959588612.584969","-834546211.425333","-773802119.959522","-738163501.009969","-748813429.228493","-238016365.948764","-639348725.270843","-335849594.922641","-215394633.859041","-650578528.14059","101691157.629706","270569651.495703","182044178.622537","198581286.120184","57558823.5294124","-60441246.1997607","32227091.0074904",
"Central African Republic","CAF","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-407862.555165254","-407696.156040057","-408155.61892611","-408101.661766314","-408133.464366405","-408029.187846776","-407068.753296993","-406535.098042324","-3299990.66910589","-1099997.46115373","-1799934.22649746","-2509649.12758551","-2066587.54834788","-3099521.19707909","-2405275.01124822","-1942632.01141882","-692710.414918571","-606483.156728049","1199995.21395186","-5399984.7688246","2565321.49814748","3301280.85996655","-7262991.30600965","-10688472.0757034","-9663662.32626711","-7299967.5023316","-12399967.7741557","-24110315.0165404","-27497402.7037934","-25633504.2066304","-22437957.8263514","-16118443.7530596","-15489771.5002883","-18717227.1338093","-20796329.7140676","-20996998.4878245","-21078355.0228676","-15738396.0851811","-18730502.0511845","-8143289.79853958","-13064215.1992981","-7823189.64147176","-9078484.97291633","-2787781.94023644","-13814730.2364179","-10221524.4865045","-11472126.5520231","-10694162.4164244","-22881051.6735189","-5828392.94575044","9643325.31720757","9728311.76580684","11221555.3896798","15164959.4371002","19703512.2316166","21054501.7969029","22763622.3822387","105585605.817412","165766279.560678","165716152.965211","76700247.747513",
"Canada","CAN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","-1299501387.6926","-1462006337.88869","-1508011920.396","-1832449755.0245","-2383615541.92229","-2638355289.02871","-3717961460.44625","-4471158439.11613","-5417906548.6105","-6606815775.99454","-7413179096.81834","-10259404454.0829","-10867309718.7323","-10017851346.9653","-11039301984.4028","-11191504943.2442","-12754947822.9579","-13352187028.6576","-16490615097.0992","-19502533783.7838","-21448405896.469","-20299380291.5248","-21307189542.4837","-19681420044.9578","-20771821909.7832","-20874380647.0417","-20951961862.853","-20318503538.9282","-21331311088.6417","-22834354176.4825","-19541445020.5373","-20807722107.438","-19246797935.3852","-22028406252.2304","-22129131437.3559","-23986631457.3362","-20994358251.0578","-21620891909.5056","-22817244611.059","-23668970343.8019","-31965433370.1396","-33872856854.8681","-32442609375.4632","-28124404589.2011","-29178622922.1416","-23844486211.652","-18668313909.4663","-20974072080.866","-29334899428.9271","-22376506271.0864","-18374492710.9139",
"Central Europe and the Baltics","CEB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
