"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","21327785.6316669","10399158.9254331","-8428819.28796755","-11816383.8383838","-42293736.2637363","-43542652.1164021","-29761228.6465177","18892474.1602067","341064871.481028","321756487.025948","513930976.430976","532080000","376923076.923077","428133333.333333","568903225.806452","605288446.736055","636853612.829863","635714256.227965","661064425.770308","769761273.209549","902698412.698413","1055810473.81546","1157014925.37313","1211149144.25428","1369039812.64637","1431101321.5859","1570840266.22296","1731961836.613","1638491475.16679","2183963085.49539","2425181347.15026","2816901647.69832","3077723577.23577","4051146515.7832","5107949609.03562","7052834863.72249","8124890992.17469","9338019435.32615","10185295732.9449","11285907465.2141","12063695606.2117","11521979400.5443","12664020663.5342","12426520288.6162","10142270180.6403","12851918960.1888","14387224917.0526","15476524899.7277","21910166945.3413",
"Bulgaria","BGR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-313923076.923077","-197714285.714286","-154466666.666667","-79166666.6666667","-38611111.1111111","-62842105.2631579","-131470588.235294","-314153846.153846","-421000000","-636777777.777778","-1636181818.18182","-1110967741.93548","-169742268.041237","-192681159.42029","-192452029.520295","-431812500","-396066891.512085","-356893691.658244","-283493581.004317","-184697339.065136","-323406584.090802","24900169.3596375","343500000","343800023.085358","305506063.107104","83504732.8632234","-851067145.514013","-3246102449.26522","-2592165731.80764","-1666255065.04585","-1054326519.56139","-1804393885.53146","-722151773.981603","-1227592969.59826","-491644281.644282","-1580502153.70664","-1677229072.39819","-1332585998.27139","-2149412794.2064","-1946433314.25301","-2435822408.66981","-2191448179.94921",
"Bahrain","BHR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-208278057.840276","-26861702.1276596","-11436170.212766","11170212.7659574","-111702127.659574","-370212765.957447","-397074468.085106","-396276595.744681","-431117021.276596","-360372340.425532","221542553.191489","191223404.255319","32180851.0638298","-193882978.723404","-242553191.489362","-58894414.893617","-25213829.787234","-236117021.276596","-161987500","-270387500","-223623670.212766","-321571010.638298","-524944414.893617","-492977393.617021","-574772340.425532","-412351329.787234","-384927393.617021","-298686170.212766","-923677393.617021","-2399864893.61702","-2373013297.87234","-3764361702.12766","-1007396010.6383","-1195864095.74468","-1632600000","-1735900000","-1795478723.40426","-1989654255.31915","-2076063829.78723","-2260638297.87234","-2459042553.19149","",
"Bahamas, The","BHS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-20196274.5098039","-22647254.9019608","-25196372.5490196","-28235588.2352941","-31666960.7843137","-35686274.5098039","-40490196.0784314","-46372549.0196078","-52941176.4705882","-62745098.0392157","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-152600000","-197500000","-126800000","-140200000","-198900000","-184345100","-152420000","-141320000","-182064700","-218000000","-231600000","-77800000","-152200000","-234900000","-236000000","-267600000","-329100000","-438100000","-402600000","-439900000","-360700000","-765600000","-603100000","-439500000","-734200000",
"Bosnia and Herzegovina","BIH","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228000000","809063590.384725","727973529.411765","590318794.159209","532411099.926794","508083301.251203","533274321.984997","504534412.698413","467984993.959433","391892758.642807","468859342.197341","706261234.272019","678315221.251509","279677659.646509","149975122.609994","134679279.989489","242092729.617813","151798331.298331","110533711.369436","22950059.3857813","-151741615.765818","-117561858.780929","-34514338.0459046","-113046010.483401","-341436865.021771",
"Belarus","BLR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","-88116817.7240685","-67674884.3311926","-31307692.3076923","-84771221.6915729","-92893687.1314603","11416193.666139","-52644224.6348817","-43260431.6546753","-30144053.6013397","25148220.380303","-18617129.6296312","55467966.5738157","-114746853.146852","-410986952.469711","-788019662.921348","-1113708199.0691","-1162447465.59249","-682460301.50754","-1470356363.20019","-2652234459.45946","-2364370696.40064","-2392655280.67311","-2250366907.92119","-2055662164.26021","-2144817923.04672","-1870207476.81423","-2600426299.39334","-2638752117.22535",
"Belize","BLZ","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-141257.174856503","-208945.821083578","-155466.890662187","-161626.767464651","-169886.602267955","-209790.20979021","-209790.20979021","-206896.551724138","-1556886.22754491","-1676646.70658683","-1736526.94610778","-2256097.56097561","-2937500","-4110429.44785276","-10818713.4502924","-12265193.3701657","-8385650.22421525","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-7700000","-9900000","-6200000","-6100000","-6200000","-9700000","-8100000","-9400000","-14950000","-18550000","-25616600","-22571300","-26403750","-23341450","-32152050","-40140750","-52899100","-67049500","-67481150","-89477850","-116744150","-114426250","-125282550","-158952800","-165177250","-90644800","-138499250","-97200000","-120200000","-119200000","-137800000","-95450000","-111450000","-125200000","-156250000","-163450000","-58650000","-77950000",
"Bermuda","BMU","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146174000","161578000","283429000","298596000","243841000","239188000","195872000","292963000","234433000","101075000","203082000","311319000",
"Bolivia","BOL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","-31500000","-67100000","-113900000","-182300297.829273","-263100000","-362200000","-410699786.333124","-361800000","-414899889.760867","-372900007.067716","-308499732.476222","-277700000","-264800187.780822","-259100320.866522","-248600000","-247000586.493884","-197700833.226509","-205899205.176901","-182500660.101721","-206601795.721101","-208200508.414456","-196498448.889481","-162200976.388813","-196200278.714473","-225531527.45209","-211160529.143774","-204700000","-301846106.642991","-384719934.475806","-376351557.754057","-397244532.927256","-489440429.488486","-536377339.983145","-673808091.168091","-888934085.82382","-985755903.128153","-1629277945.00724","-1907771099.85528","-1697959696.09262","-1127097736.45586","-620895949.659897","-1109646376.7856","-975655081.47033","-835894205.336622","-416882563.65408","-1039747903.50143",
"Brazil","BRA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","0","0","0","0","0","0","-1238738444.1199","-1032670703.03182","-810175889.16795","-675178483.414242","-599032024.248814","-520302243.54305","-463660646.806538","-898254736.047859","-810415500.006078","-1692729017.77704","-2320083832.3662","-2917873473.22267","-4720098101.91149","-6024274804.95134","-7724708204.37072","-10902032026.5667","-14453060026.9443","-11858046681.7018","-11879186473.896","-9921111354.07407","-10069491499.4915","-9338235294.11765","-11096916299.5595","18683700260.9263","-10386605001.1334","-7677820249.21375","-6190913729.40469","-8966049812.94203","-20190566962.0398","-10747133635.643","-11374332106.2581","-14575678723.1016","-17840127931.0123","-18481104227.6652","-18875699493.9263","-18181923859.3803","-17102444665.1144","-17715067944.7604","-19773414310.6219","-25774068148.209","-27717364225.6241","-29675243028.0931","-41582259624.8228","-36886943433.0299","-68232531718.9632","-67228445839.3113","-61507417541.3445","-34360076712.5829","-45765828899.2775","-33912135411.3439","-38096506258.4138","-38577403427.9627","-53303274755.0495","-50293439396.6282","-30796042830.54","-43348885158.6831",
