"Data Source","World Development Indicators",

"Last Updated Date","2016-07-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bahrain","BHR","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","158909146.190803","215580742.314566","261379524.227149","256098711.93432","288450466.730686","400854111.897032","341242457.597884","382045041.400217","382631033.629244","398402627.866192","435358140.605584","466801664.325294","469613876.28893","507271165.963664","563121561.892843","587792917.145038","591476982.201591","590263259.70243","624651434.708973","671641302.313564","834091617.319361","862223637.754285","858459487.579632","928858860.240302","993411770.659588","1022530806.96421","1132709350.64689","1269254672.42578","1280565638.88608","1302343212.5222","1457055557.52563","1673570756.80714","1585802001.11789","1677352346.13052","1774622761.81586","",
"Bahamas, The","BHS","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","22221534.7088754","23610496.3005715","26993780.044589","30269719.0356432","35513283.4418446","40219605.6137088","41119671.363053","42472117.9146781","44996918.3795101","49805567.9313776","56443274.3511452","73210494.6898864","74561309.0933184","77105870.5783961","83238613.5148078","103002967.770311","117850635.464181","133531485.352227","145233741.900833","156212962.237937","173365012.303554","156018377.990381","164627151.547786","171592572.088165","202268777.184522","202257877.491041","180035395.337812","267743977.117827","285145137.142398","362976309.266035","410143640.509832","414238737.880705","442081866.323171","456899354.497851","487486798.581572","500521384.341372","549295064.451465","552654630.813634","581737144.195411","556650391.174648","565736153.559307","558348302.363029","538022130.456997","579131218.23524","623380622.940789","",
"Bosnia and Herzegovina","BIH","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105524205.376051","144566022.0486","116325599.366246","147025725.986469","191483268.881717","261417262.462637","340466503.035848","386861726.956913","458820899.173686","631116980.550548","806743160.701527","907386394.310141","1094003696.74218","1336800853.71718","1691411337.63523","1856609043.18683","1890090228.96087","2067449132.00346","2038471268.48944","2286425254.15291","2471193088.53203","",
"Belarus","BLR","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2407732896.20871","1625814337.74462","1883205612.52602","2078382611.92253","2198488966.90945","2330115538.21308","2349262327.08433","1973260736.43899","1944971676.48243","1503166631.33691","1480368648.13066","1359325033.56959","1526380408.20188","1749048882.41314","2088401861.03076","2617021390.65185","3057754560.04023","3768968862.16149","4974532383.29344","4561820163.76104","5189960179.40998","5887373980.65069","6623493915.65944","8017093477.77673","8773934306.06377","",
"Belize","BLZ","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3999792.06648834","4489792.45386193","5286067.98675846","6723463.0712001","8536053.86144576","9531449.68459233","8274807.24163532","11139343.1109451","11461964.8514285","12961526.8207937","10742693.3539817","11740490.5790958","12644701.5878845","13541693.724464","14584937.6004733","14581976.0393605","15196665.2040369","18353318.2640145","20550000","22400000","25264866.1980516","28267238.2410724","31554289.4054696","33772175.442618","28293768.5041739","31768999.557285","29755218.7163611","30055339.0670928","29805190.4468864","40656900.2816259","119971636.44484","127287173.0354","135873199.65","144295569.57948","154427262.367635","164207902.928827","179374338.974656","192149230.856235","214884201.984088","208970060.676886","220835185.524209","240597559.1416","248119399.845237","255323693.670904","269480871.896078","",
"Bermuda","BMU","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","10251915.8025992","11698211.7229082","13453139.5884913","15750995.343508","18711947.0097306","20534790.007819","22088264.7007333","25317904.9157583","27053859.4339038","28716580.8922861","33919254.9959267","44716456.9003079","48956708.4728443","58204714.4860909","68910596.8062732","75636185.7585249","86384813.2260038","94262489.7596979","103731118.063105","116411899.119811","130815198.999628","135355336.950586","140804219.608224","148628409.522695","150650920.793101","156626875.076487","200939147.37339","213458102.724732","220922726.265035","236556877.824435","247390857.830293","297638593.8","224587879.4","289456992.6","329583443.494914","275692149.139071","258799988.671553","315201445.313612","267218214.510859","300205287.955766","346576003.089829","331324998.806202","325247698.222912","377109961.799588","","",
"Bolivia","BOL","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","64081818.171","73732517.4519231","85000022.1238235","78258568.8077308","112143574.72093","144933131.340479","169538228.157346","216685106.686892","257329092.040998","351072118.400152","431604031.379411","449120440.861816","1077661235.4615","1102765846.71402","786776841.669489","653615546.557853","479998097.628186","494109738.464222","371312502.273874","371699519.208689","348227081.555178","353996479.354115","387765120.01557","400400057.954244","432409018.970272","460737174.095977","504094991.1792","504287693.816313","486967718.639897","578386978.126698","625609802.915947","555480612.940332","493498119.086033","522715168.187578","528907657.083234","614532796.639473","831624652.742293","944365592.196897","1188774646.87939","1346596015.45195","1578663454.87387","1916293660.09188","2244232756.82185","2629102417.43874","2924906328.79082","",
"Brazil","BRA","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3383986398.84738","3745888850.75478","4327632348.68112","5564298855.07586","7397765861.03711","9286519096.69817","11585422254.4596","14497600917.5956","17113960042.6573","18897261562.0416","19024262636.9458","25178447534.5193","30456660930.9899","24581266944.9141","25075987418.6086","24810642914.558","25699525872.8496","29009559977.619","37198450309.8603","45960044544.3116","60217602429.2128","76144893986.0748","47830800453.8519","49352877138.1316","61611065844.9859","86482686907.7132","94410102895.3483","97083991187.5381","98868857865.4304","71341688871.5937","76003101458.4532","65962933451.7426","60203480359.4873","66915001756.9992","77341774544.2291","102434218075.254","125055707557.284","153465055884.425","184115239948.958","192994623861.045","244548163618.268","293483485944.731","279224958979.518","282828839388.658","280157295242.874","",
"Barbados","BRB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","18396434.6960438","21688293.7975801","26697263.1844751","29813691.59292","31731372.9633706","32915299.341738","33933213.0098129","36692468.5508845","37864121.4294488","40775693.1205798","43682719.9787324","47113109.6624527","51199961.2204228","52131757.7596204","52077238.6205105","53912726.6333395","56537714.7767783","58313331.4915584","65839477.0857069","74032649.9197868","81412363.1578747","87156299.0603232","92295021.6163414","96153930.8013428","105209325.422244","116696263.76148","125271767.154151","133532105.662663","141942014.790158","151847781.313852","146028326.061112","138405097.781463","138224304.461595","138437852.112035","142075042.781296","",
"Brunei Darussalam","BRN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","9311883.60795016","17737385.3088478","20992037.827001","29347110.5324873","63673931.5065788","65233052.6469518","64916913.6702419","72166325.074584","75202402.5010833","88442835.8707692","175585995.359459","187508679.686728","174150405.599013","174746854.383616","184231364.836484","172923082.86062","133517144.64966","163126649.916505","163984895.845836","182991573.774375","222440370.313761","235488329.912489","265343232.639248","276585117.170474","299069538.963777","354100699.108335","370583825.93403","469144717.124213","379804903.485531","422692308.220786","542658858.462282","478174399.98137","461237206.606818","515498573.237694","603088147.953412","719064310.019094","828606593.560901","873015108.285632","1066814647.35259","842693970.060786","977817564.797183","1326824447.38472","1378001226.60598","1338339997.26433","1451533034.86844","",
"Bhutan","BTN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","6420768.8997026","7181624.40544686","7306323.80244328","8266255.0103552","8262142.99000006","8588595.33298683","12227627.7034791","21263059.4557177","23969445.112789","23012854.6224818","19963792.4018718","17172301.6601036","17814255.6315404","17005628.6586114","19021137.3510913","21979722.3613924","23194533.7793341","27059111.884508","27662384.4533023","31105720.8622175","32197303.3182197","32819885.790913","34853879.7032105","44875125.830779","51020054.5543217","60465402.9184651","67724108.7126734","93928111.927642","101387853.923168","100629852.994559","124611914.272525","139946813.750881","137130490.632665","136857137.159567","143020128.357579","",
"Botswana","BWA","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","10435104.1879247","12155263.1843218","16266652.2268242","26307430.7539986","41495655.0480824","50984584.7374423","53022378.8013075","61260909.0547115","74179934.6888046","91862100.7213935","111851183.334189","112360429.341615","115897658.187282","141593438.76583","146265682.672178","126251864.367921","161764174.751647","233617075.412354","295003343.400243","266546194.88116","384741340.707663","460000407.339385","547984324.031994","568230046.137468","572120727.862128","663852684.61852","659932476.09634","627534631.566034","577336246.55925","610947626.23962","628383994.600285","556792597.463774","618650109.204295","1354296290.85562","1571934579.11524","1634661016.09346","1692530665.89287","1919496178.36218","2131163278.01729","2267368030.6241","2619007595.23557","2907176564.6635","2956001526.87058","3057611585.71582","3290806157.79686","",
"Central African Republic","CAF","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","23164231.66353","26443174.5997085","31879068.8965965","36751127.3214486","42541123.6393268","57106832.7368303","65671240.7818426","67066853.6943741","79446513.5745553","92114183.1517089","108781406.495374","89192828.3688616","93018207.0536747","82742816.9542524","73756946.4826142","93803026.9049619","119204163.476952","135944216.714234","141803536.904523","134803740.697032","159849734.390138","151206983.932365","157414827.787738","143402290.389699","88294468.3503376","109895452.617213","114143313.368651","95480887.3768605","91292896.2272794","85724974.9323606","77240650.1206843","76994904.854605","81261721.0802472","99745438.7177879","104912701.419699","105831454.219882","109077161.550968","121525415.898179","139062158.606246","137585660.667167","134835946.843186","146680193.963695","142609259.466273","99412498.2600229","109500205.16531","",
"Canada","CAN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","12175288764.2018","13702919287.3551","15179677495.965","17481572938.2126","21626047777.3704","23810753010.4125","28042387307.979","28826551121.544","30008335206.05","33703725352.6564","39177613481.8981","44162205993.6123","48586361955.8723","51432992925.9685","52355842492.24","53073586555.288","54891712169.067","60934372646.3541","70857275839.0926","80166334218.9003","87077489720.211","89613380070.8379","87928338906.8136","86129022130.2732","86223663656.2796","90450264487.1217","95815839297.405","99762384524.4949","100104415555.865","105035973537.847","112559434400.448","115376429595.684","118948622910.216","134746306235.177","150355698546.56","171534280810.962","197538361894.3","224463939830.399","245899011743.8","240258101463.608","268064795732.05","291426565518.4","306547557404.248","313540825776.632","303029681600.238","",
"Central Europe and the Baltics","CEB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","21626760380.598","20014975893.3033","20685106949.532","21182992743.5712","19960283694.5135","20783827976.2344","29658274267.2896","38054224925.3674","42577826461.899","42916451895.1773","54801441918.628","56326687217.01","59147407534.1598","56423481971.9454","60942231746.683","69081354235.9842","66197256932.6088","56623877807.078","57841215632.1024","58395212796.9084","54840701958.71","57999685222.7507","64395132385.3992","76083687780.6451","83885010224.7984","85591347698.768","87918688054.3684","96317013824.4192","112751849555.395","115454887756.551","120796133190.983","144125671259.074","137962418650.253","142895149591.032","146928926640.18","",
"Channel Islands","CHI","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","905051514.851713","958397499.888851","974506098.252462","940074014.324663","1011912222.95705","1124252038.83404","1331856687.86837","1254214578.89781","1387414216.18947","1679387565.70183","","","","","","","","",
"Chile","CHL","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","657824923.90904","836603007.153586","888958894.749353","1591308986.36166","1627771403.05963","999498441.321041","1220046658.30228","1451019584.40606","1626407468.42291","1888343264.82058","2398324675.88685","2762930860.09669","2432629264.18701","2157844351.30796","2126373215.54246","2418122917.36525","2554321275.12461","2875274362.32583","3235411946.97404","3865270737.08348","4333117747.5978","4870042457.54532","5755728263.34816","6164228334.70224","7001568702.17455","8776043322.54449","9532485696.67901","10433509487.1939","10084682807.5395","9216616652.25906","9946869056.9264","9089706905.64931","8869149433.05911","9532761398.34981","12048887035.6799","14821045315.1796","17720567735.2473","20048749934.8573","21672981079.6758","20907766246.9761","26377835542.8524","30799578781.3552","33013745000.1216","34568650732.5364","32402509543.4194","",
"China","CHN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","8274598094.82028","9033705972.39844","10751743172.9177","13155572922.7153","14292790142.1862","16031626173.9749","16682783972.489","18922887722.3292","15597522425.6201","18913992416.6564","20363909687.7938","21512976734.7873","22026326421.8292","23936904088.6521","25791987804.5364","28757616071.4286","29880600000","26908875000","27944126174.4967","32548617159.7633","35315181621.6216","38145500000","40097155639.0977","46463475433.526","58394645865.6142","76715896872.8962","90256390979.3811","101105328972.967","109288487257.29","117832754136.006","131743504238.363","148157148698.653","164757691293.052","187491531264.512","227589124678.542","271043649284.684","326722573786.307","410288687399.392","533141892069.075","588558415134.52","718145655406.781","919145498814.835","1054173635083.08","1200459900867.48","1329512411692","",
